check_id,check_name,status,notes
H8R-01,parity check script exists,PASS,scripts/check_factor_ic_parity.py
H8R-02,5 factors checked,PASS,"vol_5h, vol_40h, rsi_7h, range_1h, price_pos_24h"
H8R-03,2 horizons checked,PASS,1h and 24h
H8R-04,compute_rank_ic public API used as reference,PASS,momentum.signal_evaluation.compute_rank_ic
H8R-05,factor evaluator output matched reference,PASS,10/10 exact match (diff=0.00e+00)
H8R-06,n_periods matched,PASS,all 10 pairs: n_a == n_b
H8R-07,timestamp coverage matched,PASS,same timestamps in both methods
H8R-08,NaN handling checked,PASS,dropna(subset=[signal_col,return_col]) before rank in both methods
H8R-09,tie handling checked,PASS,both use rank(method=average) on same dataset → identical ranks
H8R-10,root cause found and fixed,PASS,NaN factor_value rows caused return rank inclusion; fixed with dropna before rank
H8R-11,actual-script-map factor count corrected,PASS,changed from "10因子" to "53注册;47有FV;10用于信号面板;6缺FV"
H8R-12,factor-evaluation method section updated,PASS,H8-R parity note added
H8R-13,no factor values modified,PASS
H8R-14,no labels modified,PASS
H8R-15,no signal panel modified,PASS
H8R-16,no new factors added,PASS
H8R-17,Phase 13 NOT STARTED,PASS
H8R-18,no production claim,PASS
H8R-19,no alpha claim,PASS
