factor_name,category,expected_direction,status,used_in_current_signal,required_columns,lookback_window,best_adj_ic_horizon,best_adj_ic,best_direction_adjusted_icir_horizon,best_direction_adjusted_icir,best_long_short_horizon,best_long_short_spread,best_long_short_t_stat,best_ic_win_rate_adjusted,coverage_min,missing_rate_max,direction_status,rankic_longshort_consistency,review_bucket,review_notes
mom_72h,momentum,positive,COMPUTED,False,close,72,24h,-0.03093993,24h,-0.181848,72h,0.00583264,15.1476,0.4642,3297107,0.005775,KNOWN,DIVERGENT,STRONG_DIAGNOSTIC_CANDIDATE,Strong RankIC and significant long-short spread.
mom_120h,momentum,positive,COMPUTED,False,close,120,24h,-0.02314036,24h,-0.135833,72h,0.00613979,15.8458,0.469,3284339,0.009625,KNOWN,DIVERGENT,STRONG_DIAGNOSTIC_CANDIDATE,Strong RankIC and significant long-short spread.
rev_1h,reversal,positive,COMPUTED,False,close,1,1h,0.03650558,1h,0.230027,72h,-0.0013287,-3.7037,0.6071,3315993,8e-05,KNOWN,DIVERGENT,STRONG_DIAGNOSTIC_CANDIDATE,Strong RankIC and significant long-short spread.
rev_72h,reversal,positive,COMPUTED,False,close,72,24h,0.03093993,24h,0.181848,72h,-0.00569324,-14.8845,0.5762,3297107,0.005775,KNOWN,DIVERGENT,STRONG_DIAGNOSTIC_CANDIDATE,Strong RankIC and significant long-short spread.
vol_ratio_20_80,volatility,conditional,DIRECTION_UNKNOWN,False,close,81,24h,-0.01231733,24h,-0.101034,72h,0.00023068,0.6979,0.4761,3286292,0.009036,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,Conditional direction; weak or no clear IC signal.
realized_skew_20h,realized_shape,conditional,DIRECTION_UNKNOWN,False,close,21,24h,-0.02652194,24h,-0.221034,4h,0.00015486,2.4777,0.4559,3310939,0.001604,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,Conditional direction but shows IC signal strength.
realized_kurt_20h,realized_shape,conditional,DIRECTION_UNKNOWN,False,close,21,24h,-0.01183482,24h,-0.108896,72h,-0.00136871,-4.7307,0.4816,3310939,0.001604,CONDITIONAL,CONSISTENT,CONDITIONAL_DIRECTION_REVIEW,Conditional direction; weak or no clear IC signal.
amihud_illiquidity_20h,liquidity,negative,COMPUTED,False,close|quote_volume,21,72h,-0.01690457,72h,-0.119175,72h,-0.0081204,-31.5402,0.4935,3299518,0.005048,KNOWN,CONSISTENT,METADATA_REVIEW,Needs manual review for classification.
qvol_ma_ratio_20_80,quote_volume_liquidity,conditional,DIRECTION_UNKNOWN,False,quote_volume,80,24h,-0.00795658,24h,-0.066375,72h,0.00131796,4.0102,0.503,3286558,0.008956,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,Conditional direction; weak or no clear IC signal.
price_volume_corr_20h,volume_price,conditional,DIRECTION_UNKNOWN,False,close|quote_volume,21,24h,-0.04024845,24h,-0.3481,72h,0.00277108,8.9406,0.4202,3299518,0.005048,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,Conditional direction but shows IC signal strength.
trend_efficiency_24h,trend_quality,positive,COMPUTED,False,close,24,72h,-0.00387968,72h,-0.032398,72h,0.00237514,7.5599,0.4902,3301020,0.004595,KNOWN,DIVERGENT,LONGSHORT_STRONG_RANKIC_WEAK,Long-short spread significant but RankIC weak.
price_pos_120h,price_position,conditional,DIRECTION_UNKNOWN,False,high|low|close,120,4h,-0.01531602,4h,-0.106281,72h,0.00558505,16.0742,0.5089,3284605,0.009545,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,Conditional direction; weak or no clear IC signal.
