factor_id,source_family,exact_formula,source_reference,required_columns,required_ops,compute_scope,timeframe_mapping,lookback,expected_direction,implementation_status,skip_reason
q158_high_low_range,alpha158,"($high-$low)/$close","Local Alpha158 high-low range support in scripts/factor_formula_registry.py; documented in docs/factor_library/audits/pm08_factor_candidate_source_map.md","high|low|close","sub|divide",single_symbol,"daily Alpha158 range formula applied to current 1h crypto bar",1,conditional,existing_support_backfill_20260627,
vwap_dev_20h,alpha158,"($close-vwap_20h)/vwap_20h; vwap_20h=Sum($close*$volume,20)/Sum($volume,20)","Local PM-09 Alpha158-inspired OHLCV support in scripts/factor_formula_registry.py","close|volume","multiply|rolling_sum|sub|divide",single_symbol,"Alpha158-inspired 20-bar VWAP deviation applied as 20 one-hour bars",20,conditional,existing_alpha158_family_backfill_20260627,
wvma_20h,alpha158,"Std(Ret($close,1)*$volume,20)/Mean($volume,20)","Local PM-09 Alpha158-inspired OHLCV support in scripts/factor_formula_registry.py","close|volume","returns|multiply|rolling_std|rolling_mean|divide",single_symbol,"Alpha158-inspired 20-bar volume-weighted volatility applied as 20 one-hour bars; return input needs 21 bars",21,negative,existing_alpha158_family_backfill_20260627,
vol_ret_corr_20h,alpha158,"Corr(Ret($close,1),Delta($volume,1),20)","Local PM-09 Alpha158-inspired OHLCV support in scripts/factor_formula_registry.py","close|volume","returns|delta|rolling_corr",single_symbol,"Alpha158-inspired 20-bar return-volume correlation applied as 20 one-hour bars; return/delta inputs need 21 bars",21,conditional,existing_alpha158_family_backfill_20260627,
intraday_ret,alpha158,"($close-$open)/$open","Local PM-09 Alpha158-inspired OHLCV support in scripts/factor_formula_registry.py","open|close","sub|divide",single_symbol,"Alpha158 kbar-style open-to-close return applied to current 1h crypto bar",1,conditional,existing_alpha158_family_backfill_20260627,
klow_close,alpha158,"(Less($open,$close)-$low)/$close","Local PM-09 Alpha158-inspired OHLCV support in scripts/factor_formula_registry.py","open|low|close","row_min|sub|divide",single_symbol,"Alpha158 kbar-style lower wick formula applied to current 1h crypto bar",1,positive,existing_alpha158_family_backfill_20260627,
ksft_5h,alpha158,"Skew(Ret($close,1),5)","Local PM-09 Alpha158-inspired OHLCV support in scripts/factor_formula_registry.py","close","returns|rolling_skew",single_symbol,"Alpha158-inspired short return skewness over 5 one-hour bars; return input needs 6 bars",6,conditional,existing_alpha158_family_backfill_20260627,
up_down_vol_ratio_20h,alpha158,"Sum($volume*(Ret($close,1)>0),20)/Sum($volume,20)","Local PM-45 Alpha158-derived OHLCV support in scripts/factor_formula_registry.py","close|volume","returns|compare|multiply|rolling_sum|divide",single_symbol,"Alpha158-derived 20-bar up-volume participation ratio applied as 20 one-hour bars",20,positive,existing_alpha158_family_backfill_20260627,
clv_20h,alpha158,"Mean((($close-$low)-($high-$close))/($high-$low+1e-8),20)","Local PM-47 Alpha158 OHLC range/location support in scripts/factor_formula_registry.py","high|low|close","sub|divide|rolling_mean",single_symbol,"Alpha158 OHLC close-location value averaged over 20 one-hour bars",20,positive,existing_alpha158_family_backfill_20260627,
wq101_alpha101,alpha101,"($close-$open)/($high-$low+0.001)","WorldQuant 101 Alpha#101 proxy implemented in scripts/factor_formula_registry.py; documented in docs/factor_library/audits/pm08_factor_candidate_source_map.md","open|high|low|close","sub|divide",single_symbol,"WorldQuant 101 daily formula adapted to current 1h crypto bar",1,conditional,existing_support_backfill_20260627,
