metric_name,source_file,source_phase,signal_id,horizon,value,direction,interpretation,used_for_policy,notes
mean_rankic,phase10a_signal_rankic_summary.csv,10A,signal_v0_core_only,1h,0.032482,POSITIVE,Higher signal rank correlates with higher forward return,YES,Canonical Phase 10A RankIC
mean_rankic,phase10a_signal_rankic_summary.csv,10A,signal_v0_core_only,4h,0.038507,POSITIVE,Higher signal rank correlates with higher forward return,YES,Canonical Phase 10A RankIC
mean_rankic,phase10a_signal_rankic_summary.csv,10A,signal_v0_core_only,24h,0.041628,POSITIVE,Higher signal rank correlates with higher forward return,YES,Canonical Phase 10A RankIC
mean_rankic,phase10a_signal_rankic_summary.csv,10A,signal_v0_core_only,72h,0.033778,POSITIVE,Higher signal rank correlates with higher forward return,YES,Canonical Phase 10A RankIC
mean_rankic,phase10a_signal_rankic_summary.csv,10A,signal_v0_pm_full_structured,1h,0.03144,POSITIVE,Higher signal rank correlates with higher forward return,YES,Canonical Phase 10A RankIC
mean_rankic,phase10a_signal_rankic_summary.csv,10A,signal_v0_pm_full_structured,4h,0.036529,POSITIVE,Higher signal rank correlates with higher forward return,YES,Canonical Phase 10A RankIC
mean_rankic,phase10a_signal_rankic_summary.csv,10A,signal_v0_pm_full_structured,24h,0.037849,POSITIVE,Higher signal rank correlates with higher forward return,YES,Canonical Phase 10A RankIC
mean_rankic,phase10a_signal_rankic_summary.csv,10A,signal_v0_pm_full_structured,72h,0.026726,POSITIVE,Higher signal rank correlates with higher forward return,YES,Canonical Phase 10A RankIC
mean_rankic,phase10a_signal_rankic_summary.csv,10A,signal_v0_family_balanced_diagnostic,1h,0.030252,POSITIVE,Higher signal rank correlates with higher forward return,YES,Canonical Phase 10A RankIC
mean_rankic,phase10a_signal_rankic_summary.csv,10A,signal_v0_family_balanced_diagnostic,4h,0.035212,POSITIVE,Higher signal rank correlates with higher forward return,YES,Canonical Phase 10A RankIC
mean_rankic,phase10a_signal_rankic_summary.csv,10A,signal_v0_family_balanced_diagnostic,24h,0.033955,POSITIVE,Higher signal rank correlates with higher forward return,YES,Canonical Phase 10A RankIC
mean_rankic,phase10a_signal_rankic_summary.csv,10A,signal_v0_family_balanced_diagnostic,72h,0.024628,POSITIVE,Higher signal rank correlates with higher forward return,YES,Canonical Phase 10A RankIC
mean_spread,phase10a_signal_quantile_spread_summary.csv,10A,signal_v0_core_only,1h,-0.000306,NEGATIVE,Standard mean long-short spread negative,YES,Standard quantile spread
mean_spread,phase10a_signal_quantile_spread_summary.csv,10A,signal_v0_core_only,4h,-0.001232,NEGATIVE,Standard mean long-short spread negative,YES,Standard quantile spread
mean_spread,phase10a_signal_quantile_spread_summary.csv,10A,signal_v0_core_only,24h,-0.006742,NEGATIVE,Standard mean long-short spread negative,YES,Standard quantile spread
mean_spread,phase10a_signal_quantile_spread_summary.csv,10A,signal_v0_core_only,72h,-0.016623,NEGATIVE,Standard mean long-short spread negative,YES,Standard quantile spread
mean_spread,phase10a_signal_quantile_spread_summary.csv,10A,signal_v0_pm_full_structured,1h,-0.000316,NEGATIVE,Standard mean long-short spread negative,YES,Standard quantile spread
mean_spread,phase10a_signal_quantile_spread_summary.csv,10A,signal_v0_pm_full_structured,4h,-0.001182,NEGATIVE,Standard mean long-short spread negative,YES,Standard quantile spread
mean_spread,phase10a_signal_quantile_spread_summary.csv,10A,signal_v0_pm_full_structured,24h,-0.006594,NEGATIVE,Standard mean long-short spread negative,YES,Standard quantile spread
mean_spread,phase10a_signal_quantile_spread_summary.csv,10A,signal_v0_pm_full_structured,72h,-0.016746,NEGATIVE,Standard mean long-short spread negative,YES,Standard quantile spread
mean_spread,phase10a_signal_quantile_spread_summary.csv,10A,signal_v0_family_balanced_diagnostic,1h,-0.000318,NEGATIVE,Standard mean long-short spread negative,YES,Standard quantile spread
mean_spread,phase10a_signal_quantile_spread_summary.csv,10A,signal_v0_family_balanced_diagnostic,4h,-0.001161,NEGATIVE,Standard mean long-short spread negative,YES,Standard quantile spread
mean_spread,phase10a_signal_quantile_spread_summary.csv,10A,signal_v0_family_balanced_diagnostic,24h,-0.006617,NEGATIVE,Standard mean long-short spread negative,YES,Standard quantile spread
mean_spread,phase10a_signal_quantile_spread_summary.csv,10A,signal_v0_family_balanced_diagnostic,72h,-0.016461,NEGATIVE,Standard mean long-short spread negative,YES,Standard quantile spread
median_spread,phase10b_robust_spread_addendum.csv,10B,signal_v0_core_only,1h,0.000392,POSITIVE,Median spread positive — outlier-dominated mean,YES,Robust to outliers
median_spread,phase10b_robust_spread_addendum.csv,10B,signal_v0_core_only,4h,0.000829,POSITIVE,Median spread positive — outlier-dominated mean,YES,Robust to outliers
median_spread,phase10b_robust_spread_addendum.csv,10B,signal_v0_core_only,24h,0.001649,POSITIVE,Median spread positive — outlier-dominated mean,YES,Robust to outliers
median_spread,phase10b_robust_spread_addendum.csv,10B,signal_v0_core_only,72h,0.000341,POSITIVE,Median spread positive — outlier-dominated mean,YES,Robust to outliers
median_spread,phase10b_robust_spread_addendum.csv,10B,signal_v0_pm_full_structured,1h,0.000375,POSITIVE,Median spread positive — outlier-dominated mean,YES,Robust to outliers
median_spread,phase10b_robust_spread_addendum.csv,10B,signal_v0_pm_full_structured,4h,0.000833,POSITIVE,Median spread positive — outlier-dominated mean,YES,Robust to outliers
median_spread,phase10b_robust_spread_addendum.csv,10B,signal_v0_pm_full_structured,24h,0.001629,POSITIVE,Median spread positive — outlier-dominated mean,YES,Robust to outliers
median_spread,phase10b_robust_spread_addendum.csv,10B,signal_v0_pm_full_structured,72h,-0.000010,ZERO/NEGATIVE,Median spread approximately zero,YES,Robust to outliers
median_spread,phase10b_robust_spread_addendum.csv,10B,signal_v0_family_balanced_diagnostic,1h,0.000373,POSITIVE,Median spread positive — outlier-dominated mean,YES,Robust to outliers
median_spread,phase10b_robust_spread_addendum.csv,10B,signal_v0_family_balanced_diagnostic,4h,0.000749,POSITIVE,Median spread positive — outlier-dominated mean,YES,Robust to outliers
median_spread,phase10b_robust_spread_addendum.csv,10B,signal_v0_family_balanced_diagnostic,24h,0.001044,POSITIVE,Median spread positive — outlier-dominated mean,YES,Robust to outliers
median_spread,phase10b_robust_spread_addendum.csv,10B,signal_v0_family_balanced_diagnostic,72h,-0.000525,NEGATIVE,Median spread negative,YES,Robust to outliers
tail_trim_spread,phase10b_robust_spread_addendum.csv,10B,signal_v0_core_only,1h,-0.000037,NEGATIVE,Tail-trim spread slightly negative,YES,Bucket 0 excluded from short
tail_trim_spread,phase10b_robust_spread_addendum.csv,10B,signal_v0_core_only,4h,-0.000318,NEGATIVE,Tail-trim spread negative,YES,Bucket 0 excluded from short
tail_trim_spread,phase10b_robust_spread_addendum.csv,10B,signal_v0_core_only,24h,-0.002034,NEGATIVE,Tail-trim spread negative,YES,Bucket 0 excluded from short
tail_trim_spread,phase10b_robust_spread_addendum.csv,10B,signal_v0_core_only,72h,-0.005643,NEGATIVE,Tail-trim spread negative,YES,Bucket 0 excluded from short
tail_trim_spread,phase10b_robust_spread_addendum.csv,10B,signal_v0_pm_full_structured,1h,-0.000068,NEGATIVE,Tail-trim spread slightly negative,YES,Bucket 0 excluded from short
tail_trim_spread,phase10b_robust_spread_addendum.csv,10B,signal_v0_pm_full_structured,4h,-0.000398,NEGATIVE,Tail-trim spread negative,YES,Bucket 0 excluded from short
tail_trim_spread,phase10b_robust_spread_addendum.csv,10B,signal_v0_pm_full_structured,24h,-0.002327,NEGATIVE,Tail-trim spread negative,YES,Bucket 0 excluded from short
