factor_id,cluster_id,cluster_size,family,quality_score,scorecard_class,redundancy_score_to_representative,nearest_redundant_factor,novelty_score,member_role,interpretation_notes_zh,interpretation_notes_en,paper_net_return_10bps,cost_sensitivity_class,regime_dependency_class,capacity_liquidity_class,quantile_shape_class,stability_class,decile_shape_class
wq101_alpha101,0,14,wq101,50.35,REVIEW_REQUIRED,0.884487,wq101_alpha49,0.005253,LOWER_MARGINAL_INFORMATION_MEMBER,与代表因子 rev_1h 相关性 0.88，信息冗余度中等，需结合边际信息、稳定性、容量与状态表现进一步评估,Redundancy 0.88 with representative rev_1h — moderate overlap; requires marginal-information review before combination,-0.773596,INSUFFICIENT_DATA,BEAR_DEPENDENT,WATCH_LIQUIDITY,MIXED_SHAPE,STABLE_WEAK,NONLINEAR_MIXED
wq101_alpha9,0,14,,63.06,REVIEW_REQUIRED,0.5,wq101_alpha49,0.102648,LOWER_MARGINAL_INFORMATION_MEMBER,与代表因子 rev_1h 相关性 0.50，信息冗余度中等，需结合边际信息、稳定性、容量与状态表现进一步评估,Redundancy 0.50 with representative rev_1h — moderate overlap; requires marginal-information review before combination,0.55661,COST_COLLAPSED,REGIME_ROBUST,WATCH_LIQUIDITY,WEAK_MONOTONIC,STABLE_POSITIVE,NONLINEAR_MIXED
wq101_alpha54,0,14,,76.5,REVIEW_REQUIRED,0.5,q158_ksft_range,0.005468,LOWER_MARGINAL_INFORMATION_MEMBER,与代表因子 rev_1h 相关性 0.50，信息冗余度中等，需结合边际信息、稳定性、容量与状态表现进一步评估,Redundancy 0.50 with representative rev_1h — moderate overlap; requires marginal-information review before combination,2.314392,COST_COLLAPSED,VOL_DEPENDENT,WATCH_LIQUIDITY,WEAK_MONOTONIC,STABLE_POSITIVE,DECILE_MONOTONIC_WEAK
wq101_alpha49,0,14,,64.6,REVIEW_REQUIRED,0.869067,wq101_alpha51,0.000478,LOWER_MARGINAL_INFORMATION_MEMBER,与代表因子 rev_1h 相关性 0.87，信息冗余度中等，需结合边际信息、稳定性、容量与状态表现进一步评估,Redundancy 0.87 with representative rev_1h — moderate overlap; requires marginal-information review before combination,0.522184,COST_COLLAPSED,REGIME_ROBUST,WATCH_LIQUIDITY,WEAK_MONOTONIC,STABLE_POSITIVE,DECILE_MONOTONIC_WEAK
wq101_alpha51,0,14,,65.61,REVIEW_REQUIRED,0.868663,wq101_alpha49,0.000478,LOWER_MARGINAL_INFORMATION_MEMBER,与代表因子 rev_1h 相关性 0.87，信息冗余度中等，需结合边际信息、稳定性、容量与状态表现进一步评估,Redundancy 0.87 with representative rev_1h — moderate overlap; requires marginal-information review before combination,0.55626,COST_COLLAPSED,REGIME_ROBUST,WATCH_LIQUIDITY,WEAK_MONOTONIC,STABLE_POSITIVE,DECILE_MONOTONIC_WEAK
wq101_alpha83,0,14,,0.0,,0.5,q158_ksft_range,0.162389,LOWER_MARGINAL_INFORMATION_MEMBER,与代表因子 rev_1h 相关性 0.50，信息冗余度中等，需结合边际信息、稳定性、容量与状态表现进一步评估,Redundancy 0.50 with representative rev_1h — moderate overlap; requires marginal-information review before combination,1.052952,,,,,,
q158_kmid_open,0,14,,52.15,REVIEW_REQUIRED,0.994932,q158_open_close_0h,0.0,REDUNDANT_HIGH_QUALITY_ALTERNATIVE,与代表因子 rev_1h 相关性 0.99，信息冗余度高，需结合边际信息、稳定性、容量与状态表现进一步评估,Redundancy 0.99 with representative rev_1h — high overlap; requires marginal-information review before combination,-1.034118,INSUFFICIENT_DATA,BEAR_DEPENDENT,WATCH_LIQUIDITY,WEAK_MONOTONIC,UNSTABLE_SIGN_FLIP,NONLINEAR_MIXED
q158_kmid_range,0,14,,52.38,REVIEW_REQUIRED,0.947391,candle_body,2.5e-05,REDUNDANT_HIGH_QUALITY_ALTERNATIVE,与代表因子 rev_1h 相关性 0.95，信息冗余度高，需结合边际信息、稳定性、容量与状态表现进一步评估,Redundancy 0.95 with representative rev_1h — high overlap; requires marginal-information review before combination,-1.170073,INSUFFICIENT_DATA,BEAR_DEPENDENT,WATCH_LIQUIDITY,EXCELLENT_MONOTONIC,UNSTABLE_SIGN_FLIP,DECILE_MONOTONIC_WEAK
q158_ksft_open,0,14,,50.86,REVIEW_REQUIRED,0.813773,q158_ksft_range,0.05585,LOWER_MARGINAL_INFORMATION_MEMBER,与代表因子 rev_1h 相关性 0.81，信息冗余度中等，需结合边际信息、稳定性、容量与状态表现进一步评估,Redundancy 0.81 with representative rev_1h — moderate overlap; requires marginal-information review before combination,-1.651435,INSUFFICIENT_DATA,BEAR_DEPENDENT,WATCH_LIQUIDITY,WEAK_MONOTONIC,UNSTABLE_SIGN_FLIP,BOTH_TAILS_U_SHAPED
q158_ksft_range,0,14,,51.92,REVIEW_REQUIRED,0.5,wq101_alpha54,0.005468,LOWER_MARGINAL_INFORMATION_MEMBER,与代表因子 rev_1h 相关性 0.50，信息冗余度中等，需结合边际信息、稳定性、容量与状态表现进一步评估,Redundancy 0.50 with representative rev_1h — moderate overlap; requires marginal-information review before combination,-2.115014,INSUFFICIENT_DATA,BEAR_DEPENDENT,WATCH_LIQUIDITY,EXCELLENT_MONOTONIC,UNSTABLE_SIGN_FLIP,DECILE_MONOTONIC_WEAK
