check_id,check_name,description,expected,actual,status,notes
1,PHASE_12D_A_REPOSITORY_MAP_AUDIT.md exists,Main audit document exists,Yes,Yes,PASS,Primary deliverable
2,docs/FACTOR_LIBRARY_HOME.md exists,Factor library home page exists,Yes,Yes,PASS,Navigation hub for factor library
3,docs/PROJECT_TREE_UPDATED.md exists,Updated project tree exists,Yes,Yes,PASS,Replaces old Phase 2C PROJECT_TREE.md
4,repository-map.html exists,Repository map HTML page exists,Yes,Yes,PASS,Website page for repo structure
5,file-ownership.html exists,File ownership HTML page exists,Yes,Yes,PASS,Website page for file ownership
6,repo_map.json exists,Repository map JSON data exists,Yes,Yes,PASS,Data feed for HTML pages
7,all top-level folders documented,All 12 top-level folders documented in audit,Yes,Yes,PASS,config data docs research scripts src tests reports pm_prompts etc
8,research/factor_runs/crypto_top50_factor_library documented,Research run folder fully documented,Yes,Yes,PASS,273 files documented with purpose and ownership
9,docs/factor_library_transparency documented,Transparency docs folder documented,Yes,Yes,PASS,12 files documented
10,reports/site/factor-library documented,Showcase website folder documented,Yes,Yes,PASS,Website output documented as generated
11,source-vs-generated distinction documented,Source vs generated distinction clear,Yes,Yes,PASS,Explicit in audit document and HTML pages
12,no Phase 13 started,Phase 13 has not been started,Yes,Yes,PASS,No Phase 13 files exist
13,no research results changed,No research results were modified,Yes,Yes,PASS,Read-only audit — no data files changed
14,quality_checks_csv exists,This quality checks file exists,Yes,Yes,PASS,Self-referencing check
15,test_phase12d_a_repository_map.py exists,Test file exists,Yes,Yes,PASS,Unit tests for Phase 12D-A deliverables
16,HTML pages linked from index,repository-map.html and file-ownership.html accessible from factor-library index,Yes,Yes,PASS,Linked via breadcrumb and footer navigation
17,JSON schema valid,repo_map.json is valid JSON,Yes,Yes,PASS,JSON linted on write
18,seven source-of-truth rules defined,All 7 rules documented,Yes,Yes,PASS,Rules 1-7 in audit doc and HTML
