check_id,status,what_it_checks,evidence_file_or_command,blocking_if_failed,notes_zh,notes_en
registry_integrity_ready,PASS,"Factor registry (REGISTRY list in factor_formula_registry.py) is parseable, all factor_ids unique, all required_columns valid",python scripts/run_factor_library_refresh.py --stage registry-integrity,YES,因子注册表完整性检查,"Factor registry integrity — unique IDs, valid columns, parseable REGISTRY list"
factor_ops_reuse_ready,PASS,"All primitive operators (delay, delta, rolling_mean, rolling_std, rolling_max, rolling_min, rolling_corr, rolling_sum, rolling_skew, zscore, ema, true_range, ts_rank, signed_power) are available in factor_ops.py",scripts/factor_ops.py — 14 operators available,YES,因子操作复用就绪检查,Factor ops library completeness — all primitive operators available for candidate formulas
factor_values_build_ready,PASS,build_factor_values.py can compute factor values for all registered factors without error,python scripts/run_factor_library_refresh.py --stage values,YES,因子值构建就绪检查,Factor values build pipeline — can compute all registered factors
intake_runner_ready,PASS,"Single-factor intake can be run incrementally (add new FactorSpec, run build, evaluate) without full library rebuild",python scripts/run_factor_library_refresh.py --stage values --dry-run,NO,单因子摄入运行器就绪检查,Single-factor intake runner — can add and evaluate new factors incrementally
full_refresh_runner_ready,PASS,Full factor library refresh pipeline (run_factor_library_refresh.py) is functional and stages execute in order,python scripts/run_factor_library_refresh.py --stage profile --dry-run,NO,全量刷新运行器就绪检查,Full refresh pipeline — all stages functional and ordered correctly
expensive_stage_guardrails_ready,PASS,"Expensive stages (evaluate, redundancy, paper-diagnostics) require --expensive-ok flag",scripts/run_factor_library_refresh.py — argparse --expensive-ok guard,NO,昂贵阶段护栏就绪检查,Expensive stage guardrails — evaluate/redundancy/paper require explicit --expensive-ok
profile_stage_ready,PASS,Unified profile stage produces factor_unified_profile_summary.csv/json with quality scores,research/.../factor_diagnostics/factor_unified_profile_summary.csv,NO,Profile阶段就绪检查,Unified profile stage — produces quality scores and profile summary
evidence_matrix_ready,PASS,"Evidence matrix (factor_evaluation_evidence_matrix.csv) contains IC, turnover, stability, regime data per factor",research/.../factor_diagnostics/factor_evaluation_evidence_matrix.csv,NO,证据矩阵就绪检查,"Evidence matrix — contains IC, turnover, stability, regime data for each factor"
staleness_monitor_ready,PASS,check_factor_library_staleness.py detects stale factors and reports staleness severity,python scripts/check_factor_library_staleness.py,NO,过时监控就绪检查,Staleness monitor — detects and reports stale factors
page_ready_payload_ready,PASS,"Single-factor paper page payload exists and contains NAV curves, drawdown, turnover, monthly returns",research/.../factor_diagnostics/single_factor_paper_page_payload.json,NO,页面就绪负载检查,"Page-ready payload — contains NAV curves, drawdown, turnover, monthly returns"
no_signal_mutation_guard_ready,PASS,build_factor_values.py does not mutate signal_panel or ranking after factor computation; factor values are pure outputs,scripts/build_factor_values.py — factor values stored independently of signal panel,YES,信号不变性护栏检查,"No signal mutation guard — factor values computed independently, no signal panel side effects"
