check_id,check_name,description,expected,actual,status,notes
1,workflow-map.html exists,Workflow map HTML page exists,Yes,Yes,PASS,Phase 2-12D timeline
2,data-lineage.html exists,Data lineage HTML page exists,Yes,Yes,PASS,12 data nodes visualized
3,pipeline-layers.html exists,Pipeline layers HTML page exists,Yes,Yes,PASS,8-layer structure
4,workflow_map.json exists,Workflow map JSON data exists,Yes,Yes,PASS,Structured phase data
5,data_lineage.json exists,Data lineage JSON data exists,Yes,Yes,PASS,Structured lineage data
6,workflow_map_v2.md exists,V2 workflow map markdown exists,Yes,Yes,PASS,Does not overwrite v1
7,data_lineage_v2.md exists,V2 data lineage markdown exists,Yes,Yes,PASS,Does not overwrite v1
8,phase2_to_12d_documented,Phase 2 through Phase 12D all have descriptions,Yes,Yes,PASS,15 phases in workflow_map.json
9,all_layers_documented,config/src/scripts/data/research/docs/reports/tests all documented,Yes,Yes,PASS,8 layers in pipeline-layers.html
10,run_id_documented,Current run_id explicitly stated as crypto_top50_usdt_perp_1h,Yes,Yes,PASS,In all new files
11,archive_not_framework,crypto_top50_factor_library described as run archive not framework,Yes,Yes,PASS,Explicit in all entry docs
12,site_is_generated_output,reports/site/factor-library described as generated output,Yes,Yes,PASS,In data lineage and disclaimers
13,phase_13_not_started,Phase 13 NOT STARTED explicitly stated,Yes,Yes,PASS,In workflow-map.html and disclaimers
14,no_real_execution,No real execution disclaimer present,Yes,Yes,PASS,In workflow-map.html disclaimers
15,no_alpha_claim,No alpha claim disclaimer present,Yes,Yes,PASS,In workflow-map.html disclaimers
16,no_production_claim,No production claim disclaimer present,Yes,Yes,PASS,In workflow-map.html disclaimers
17,no_research_results_changed,No research results were modified,Yes,Yes,PASS,Only docs and website files changed
18,v1_preserved,Original v1 workflow_map.md and data_lineage.md not overwritten,Yes,Yes,PASS,V2 files are new additions
19,index_updated,index.html navigation updated with new pages,Yes,Yes,PASS,3 new nav cards added
20,phase12db_in_pages,Phase 12D-B mentioned in HTML pages,Yes,Yes,PASS,In workflow-map.html you-are-here
