check_id,check_category,check_description,status,required_before_9b,notes
P9A-R-01,factor_scope,Exactly 10 CANDIDATE_REVIEW factors and no others in signal architecture,PASS,YES,Confirmed: vol_5h vol_40h range_1h range_4h price_pos_24h xs_rank_vol rsi_28h rsi_7h downside_vol_20h vol_of_vol_20h
P9A-R-02,role_assignment,Each factor assigned exactly one PM role and channel,PASS,YES,4 channels: RISK_PRESSURE(4) TECHNICAL_REVERSION(2) RANGE_POSITION(3) LIQUIDITY_GATE(1)
P9A-R-03,component_structure,Four signal components defined with correct factor membership,PASS,YES,risk_pressure(4) oscillator(2) position_overlay(3) liquidity_gate(1)
P9A-R-04,basket_design,Five required baskets defined with correct factors,PASS,YES,basket_1(6) basket_2(3) basket_3(7) basket_4(10) basket_5(6)
P9A-R-05,pm_preferred,PM-preferred basket is basket_3_liquidity_gated_core,PASS,YES,basket_3 has pm_priority=1
P9A-R-06,weighting,All weighting policies have optimization_used=FALSE,PASS,YES,No optimization; PM-specified structural weights only
P9A-R-07,no_labels,No forward returns or labels used in any policy or rule,PASS,YES,labels_or_returns_used=FALSE on all policies
P9A-R-08,no_backtest,No backtest output files exist,PASS,YES,DESIGN_ONLY phase
P9A-R-09,no_pnl,No PnL or portfolio simulation files exist,PASS,YES,DESIGN_ONLY phase
P9A-R-10,no_alpha_claim,No alpha/tradeable/live/deploy status in any artifact,PASS,YES,CANDIDATE_REVIEW is not alpha
P9A-R-11,transformation,7 transformation rules defined; forward returns and labels explicitly forbidden,PASS,YES,cross_sectional_winsorization through dynamic_universe_warning
P9A-R-12,docs_updated,DOCS_INDEX.md and FACTOR_LIBRARY_ROADMAP.md updated with Phase 9A-R,PASS,YES,Phase 9 IN PROGRESS (design only); Phase 10 NOT STARTED
P9A-R-13,construction_status,All baskets have construction_status=DESIGN_ONLY,PASS,YES,No basket marked as IMPLEMENTED or LIVE
