factor_id,family,tier,flag,notes
taker_buy_ratio_20h,taker_imbalance,TIER_2_PROMISING_BUT_NEEDS_REVIEW,EXPECTED_DIRECTION_MISMATCH,requires PM review
taker_buy_ratio_20h,taker_imbalance,TIER_2_PROMISING_BUT_NEEDS_REVIEW,MULTI_LABEL_INCONSISTENT,requires PM review
taker_buy_zscore_20h,taker_imbalance,TIER_2_PROMISING_BUT_NEEDS_REVIEW,EXPECTED_DIRECTION_MISMATCH,requires PM review
taker_buy_delta_5h,taker_imbalance,TIER_3_WEAK_DIAGNOSTIC,EXPECTED_DIRECTION_MISMATCH,requires PM review
funding_rate_level_20h,funding_rate,TIER_3_WEAK_DIAGNOSTIC,EXPECTED_DIRECTION_MISMATCH,requires PM review
funding_rate_level_20h,funding_rate,TIER_3_WEAK_DIAGNOSTIC,STATIC_DYNAMIC_SIGN_MISMATCH,requires PM review
funding_rate_level_20h,funding_rate,TIER_3_WEAK_DIAGNOSTIC,MULTI_LABEL_INCONSISTENT,requires PM review
funding_rate_zscore_80h,funding_rate,TIER_3_WEAK_DIAGNOSTIC,EXPECTED_DIRECTION_MISMATCH,requires PM review
funding_rate_zscore_80h,funding_rate,TIER_3_WEAK_DIAGNOSTIC,WEAK_SIGNAL,requires PM review
funding_rate_zscore_80h,funding_rate,TIER_3_WEAK_DIAGNOSTIC,MULTI_LABEL_INCONSISTENT,requires PM review
funding_rate_change_24h,funding_rate,TIER_4_UNSTABLE_OR_SIGN_FLIP,EXPECTED_DIRECTION_MISMATCH,requires PM review
funding_rate_change_24h,funding_rate,TIER_4_UNSTABLE_OR_SIGN_FLIP,STATIC_DYNAMIC_SIGN_MISMATCH,requires PM review
funding_rate_change_24h,funding_rate,TIER_4_UNSTABLE_OR_SIGN_FLIP,WEAK_SIGNAL,requires PM review
funding_rate_change_24h,funding_rate,TIER_4_UNSTABLE_OR_SIGN_FLIP,MULTI_LABEL_INCONSISTENT,requires PM review
