protocol_item,value,notes
signals_to_evaluate,"signal_v0_core_only, signal_v0_pm_full_structured, signal_v0_family_balanced_diagnostic",All 3 Phase 9B signals
horizons,"1h, 4h, 24h, 72h",All 4 forward return horizons
signal_variants,"v1_original_with_guard, v1_inverted_with_guard, v1_original_no_guard, v1_inverted_no_guard",4 variants per signal; inverted only for 24h/72h
rankic,mean+std+tstat+positive_rate,Cross-sectional Spearman RankIC per timestamp
mean_spread,top_bottom_20pct_equal_weight,Standard mean long-short spread (secondary metric)
median_spread,top_bottom_20pct_equal_weight_median,Robust to outliers; primary metric
winsorized_spread,winsorized_1_99pct,Partially robust; secondary metric
tail_trim_spread,ex_bucket0_short_leg,Primary guard check; must be > 0 for guard variants
bucket0_guard_check,short_leg_bucket0_count_must_be_0,Verify no bucket 0 exposure in short leg for guard variants
bucket0_exposure_fraction,fraction_of_short_leg_in_bucket0,Quantify bucket 0 contamination
per_ts_rankic_distribution,percentiles_5_25_50_75_95,Report full distribution not just mean
sign_consistency,rankic_vs_median_vs_tail_trim,Flag any signal×horizon where directions conflict
no_cost_slippage,TRUE,Phase 10D is diagnostic only
no_phase11,TRUE,Phase 11 NOT STARTED
no_alpha_claim,TRUE,No alpha claim in Phase 10D
no_portfolio_optimization,TRUE,Equal-weight diagnostic only
evaluation_pass_criteria,"RankIC>0 AND median_spread>0 AND tail_trim_spread>0",All three must hold for a variant to pass
evaluation_fail_criteria,"RankIC<0 OR median_spread<0 OR tail_trim_spread<0",Any one failing blocks the variant
