check_id,check_name,status,notes
ER01,rsi_28h marked NEGATIVE,PASS,rsi_28h in NEGATIVE list
ER02,rsi_28h sign-flipped,PASS,all 6 factors flipped
ER03,oscillator uses flipped rsi_7h and rsi_28h,PASS,mean(flipped(rsi_7h), flipped(rsi_28h))
ER04,same timestamp for signal/factor/weight,PASS,2026-06-13 00:00:00 UTC
ER05,no POS direction for rsi_28h,PASS,
ER06,risk_pressure_component shown,PASS,from phase9b_signal_panel.parquet
ER07,oscillator_exhaustion_component shown,PASS,from phase9b_signal_panel.parquet
ER08,raw_core_score shown,PASS,
ER09,final signal value shown,PASS,
ER10,paper weight shown,PASS,
ER11,no real execution,PASS,
ER12,no alpha claim,PASS,
ER13,no production claim,PASS,
ER14,phase13 not started,PASS,
ER15,no research results changed,PASS,
