factor_id,family,diagnostic_tier,stability_bucket_1h,multi_horizon_consistency,turnover_flag,coverage_flag,direction_alignment,recommended_next_action,notes
mom_5h,momentum,TIER_2_PROMISING_BUT_NEEDS_REVIEW,STABLE_NEGATIVE,CONSISTENT_3H,NORMAL_TURNOVER,PASS,misaligned_both,REVIEW_FORMULA_OR_DIRECTION,direction: misaligned_both
mom_10h,momentum,TIER_2_PROMISING_BUT_NEEDS_REVIEW,STABLE_NEGATIVE,CONSISTENT_3H,NORMAL_TURNOVER,PASS,misaligned_both,REVIEW_FORMULA_OR_DIRECTION,direction: misaligned_both
mom_40h,momentum,TIER_2_PROMISING_BUT_NEEDS_REVIEW,DYNAMIC_ONLY,MIXED_2H,NORMAL_TURNOVER,PASS,misaligned_both,REVIEW_FORMULA_OR_DIRECTION,direction: misaligned_both
rev_3h,reversal,TIER_2_PROMISING_BUT_NEEDS_REVIEW,STABLE_POSITIVE,CONSISTENT_4H,NORMAL_TURNOVER,PASS,misaligned_both,REVIEW_FORMULA_OR_DIRECTION,direction: misaligned_both
rev_10h,reversal,TIER_2_PROMISING_BUT_NEEDS_REVIEW,STABLE_POSITIVE,CONSISTENT_3H,NORMAL_TURNOVER,PASS,misaligned_both,REVIEW_FORMULA_OR_DIRECTION,direction: misaligned_both
rev_24h,reversal,TIER_2_PROMISING_BUT_NEEDS_REVIEW,STABLE_POSITIVE,MIXED_2H,NORMAL_TURNOVER,PASS,misaligned_both,REVIEW_FORMULA_OR_DIRECTION,direction: misaligned_both
vol_ratio_5_20,volatility,TIER_3_WEAK_DIAGNOSTIC,WEAK_BOTH,MIXED_2H,NORMAL_TURNOVER,PASS,conditional_not_scored,LOW_PRIORITY_DIAGNOSTIC,
price_pos_72h,price_position,TIER_3_WEAK_DIAGNOSTIC,WEAK_BOTH,CONSISTENT_3H,NORMAL_TURNOVER,PASS,conditional_not_scored,LOW_PRIORITY_DIAGNOSTIC,
vol_zscore_20h,volume_liquidity,TIER_4_UNSTABLE_OR_SIGN_FLIP,SIGN_FLIP,MIXED_2H,HIGH_TURNOVER,PASS,aligned_static_only,REVIEW_FORMULA_OR_DIRECTION,sign flip between static and dynamic; high turnover risk (high_turnover); direction: aligned_static_only
vol_zscore_48h,volume_liquidity,TIER_4_UNSTABLE_OR_SIGN_FLIP,SIGN_FLIP,MIXED_2H,HIGH_TURNOVER,PASS,aligned_static_only,REVIEW_FORMULA_OR_DIRECTION,sign flip between static and dynamic; high turnover risk (high_turnover); direction: aligned_static_only
qvol_zscore_20h,quote_volume_liquidity,TIER_4_UNSTABLE_OR_SIGN_FLIP,SIGN_FLIP,CONSISTENT_3H,HIGH_TURNOVER,PASS,aligned_static_only,REVIEW_FORMULA_OR_DIRECTION,sign flip between static and dynamic; high turnover risk (high_turnover); direction: aligned_static_only
qvol_zscore_48h,quote_volume_liquidity,TIER_4_UNSTABLE_OR_SIGN_FLIP,SIGN_FLIP,MIXED_2H,HIGH_TURNOVER,PASS,aligned_static_only,REVIEW_FORMULA_OR_DIRECTION,sign flip between static and dynamic; high turnover risk (high_turnover); direction: aligned_static_only
ma_gap_5_20,trend_ma,TIER_2_PROMISING_BUT_NEEDS_REVIEW,DYNAMIC_ONLY,CONSISTENT_3H,NORMAL_TURNOVER,PASS,misaligned_both,REVIEW_FORMULA_OR_DIRECTION,direction: misaligned_both
ma_gap_10_40,trend_ma,TIER_4_UNSTABLE_OR_SIGN_FLIP,SIGN_FLIP,UNSTABLE,LOW_TURNOVER,PASS,aligned_static_only,REVIEW_FORMULA_OR_DIRECTION,sign flip between static and dynamic; direction: aligned_static_only
breakout_dist_20h,breakout,TIER_2_PROMISING_BUT_NEEDS_REVIEW,STABLE_NEGATIVE,CONSISTENT_4H,NORMAL_TURNOVER,PASS,misaligned_both,REVIEW_FORMULA_OR_DIRECTION,direction: misaligned_both
breakout_dist_48h,breakout,TIER_2_PROMISING_BUT_NEEDS_REVIEW,DYNAMIC_ONLY,CONSISTENT_3H,NORMAL_TURNOVER,PASS,misaligned_both,REVIEW_FORMULA_OR_DIRECTION,direction: misaligned_both
candle_body,intraday_candle,TIER_2_PROMISING_BUT_NEEDS_REVIEW,STABLE_NEGATIVE,CONSISTENT_4H,EXTREME_TURNOVER,PASS,conditional_not_scored,MONITOR_HIGH_TURNOVER,high turnover risk (extreme_turnover)
candle_wick_upper,intraday_candle,TIER_2_PROMISING_BUT_NEEDS_REVIEW,STATIC_ONLY,CONSISTENT_4H,EXTREME_TURNOVER,PASS,misaligned_both,REVIEW_FORMULA_OR_DIRECTION,high turnover risk (extreme_turnover); direction: misaligned_both
candle_wick_lower,intraday_candle,TIER_3_WEAK_DIAGNOSTIC,WEAK_BOTH,MIXED_2H,EXTREME_TURNOVER,PASS,misaligned_both,LOW_PRIORITY_DIAGNOSTIC,high turnover risk (extreme_turnover); direction: misaligned_both
xs_rank_ret_1h,cross_sectional_normalized,TIER_2_PROMISING_BUT_NEEDS_REVIEW,STABLE_NEGATIVE,CONSISTENT_4H,EXTREME_TURNOVER,PASS,conditional_not_scored,MONITOR_HIGH_TURNOVER,high turnover risk (extreme_turnover)
