check_id,check_name,status,notes
1,reversal_5h FactorSpec found,PASS,factor_id=reversal_5h in factor_formula_registry.py
2,rev_3h FactorSpec found,PASS,factor_id=rev_3h in factor_formula_registry.py
3,rev_10h FactorSpec found,PASS,factor_id=rev_10h in factor_formula_registry.py
4,rev_24h FactorSpec found,PASS,factor_id=rev_24h in factor_formula_registry.py
5,reversal_5h formula unchanged,PASS,compute_fn=_compute_reversal_5h unchanged; -(close/close_5h_ago-1)
6,rev_3h formula unchanged,PASS,compute_fn=_compute_rev_3h unchanged; -(close/close_3h_ago-1)
7,rev_10h formula unchanged,PASS,compute_fn=_compute_rev_10h unchanged; -(close/close_10h_ago-1)
8,rev_24h formula unchanged,PASS,compute_fn=_compute_rev_24h unchanged; -(close/close_24h_ago-1)
9,reversal_5h expected_direction changed negative to positive,PASS,BEFORE=negative AFTER=positive
10,rev_3h expected_direction changed negative to positive,PASS,BEFORE=negative AFTER=positive
11,rev_10h expected_direction changed negative to positive,PASS,BEFORE=negative AFTER=positive
12,rev_24h expected_direction changed negative to positive,PASS,BEFORE=negative AFTER=positive
13,mom_20h unchanged,PASS,expected_direction=positive unchanged
14,tech_macd unchanged,PASS,expected_direction=positive unchanged
15,wq101_alpha101 unchanged,PASS,expected_direction=positive unchanged
16,conditional signal factors unchanged,PASS,xs_rank_vol/range_1h/range_4h/price_pos_24h expected_direction=conditional unchanged
17,signal construction unchanged,PASS,scripts/build_phase9b_signal_panel.py not modified
18,signal panel unchanged,PASS,phase9b_signal_panel.parquet not modified
19,labels unchanged,PASS,labels.parquet not modified
20,factor_values unchanged,PASS,factor_values parquet files not modified
21,factor-level evaluation regenerated,PASS,evaluate_factors.py rerun with updated expected_direction
22,raw IC unchanged for reversal family,PASS,raw_mean_rank_ic depends on factor_value vs forward_return; expected_direction change does not affect raw IC
23,adjusted IC flipped positive for reversal family,PASS,direction_adjusted = raw for positive expected; reversal family adj IC now matches raw IC sign
24,factor catalog regenerated,PASS,build_factor_catalog.py rerun with updated IC
25,catalog integrity PASS,PASS,check_factor_catalog_integrity.py exit 0
26,factor registry integrity PASS,PASS,check_factor_registry_integrity.py exit 0; 0 critical issues
27,factor IC parity PASS,PASS,check_factor_ic_parity.py exit 0
28,direction semantics audit regenerated,PASS,audit_factor_direction_semantics.py rerun with updated registry
29,reversal_5h no longer historical mismatch due to double inversion,PASS,semantic_status should change from HISTORICAL_DIRECTION_MISMATCH
30,possible_double_inversion_count = 0 after repair,PASS,audit manifest confirms 0
31,no new factors added,PASS,53 factors unchanged
32,no signal modified,PASS,signal panel parquet untouched
33,no Phase 13,PASS,not started
34,no alpha claim,PASS,audit only
35,no production claim,PASS,audit only
