coingecko_id,coingecko_symbol,coingecko_name,coingecko_primary_category,coingecko_categories,coingecko_category_count,coingecko_category_status,coingecko_category_source,coingecko_category_fetched_at,coingecko_category_error
bitcoin,btc,Bitcoin,Smart Contract Platform,Smart Contract Platform|Layer 1 (L1)|FTX Holdings|Proof of Work (PoW)|Bitcoin Ecosystem|GMCI 30 Index|GMCI Index|Coinbase 50 Index,8,OK,coingecko_coins_id_categories,2026-06-28T22:24:13.662298+00:00,
ethereum,eth,Ethereum,Smart Contract Platform,Smart Contract Platform|Layer 1 (L1)|Ethereum Ecosystem|FTX Holdings|Multicoin Capital Portfolio|Proof of Stake (PoS)|Alameda Research Portfolio|Andreessen Horowitz (a16z) Portfolio|GMCI Layer 1 Index|GMCI 30 Index|Delphi Ventures Portfolio|Galaxy Digital Portfolio|GMCI Index|World Liberty Financial Portfolio|Coinbase 50 Index,15,OK,coingecko_coins_id_categories,2026-06-28T22:24:20.373969+00:00,
solana,sol,Solana,Smart Contract Platform,Smart Contract Platform|Solana Ecosystem|Layer 1 (L1)|FTX Holdings|Multicoin Capital Portfolio|Proof of Stake (PoS)|Alameda Research Portfolio|Andreessen Horowitz (a16z) Portfolio|GMCI Layer 1 Index|GMCI 30 Index|Delphi Ventures Portfolio|GMCI Index|Polychain Capital Portfolio|Made in USA|Coinbase 50 Index|CoinList Launchpad,16,OK,coingecko_coins_id_categories,2026-06-28T22:24:27.084372+00:00,
ripple,xrp,XRP,Smart Contract Platform,Smart Contract Platform|Layer 1 (L1)|FTX Holdings|Pantera Capital Portfolio|Andreessen Horowitz (a16z) Portfolio|XRP Ledger Ecosystem|GMCI 30 Index|Blockchain Capital Portfolio|GMCI Index|Made in USA|Coinbase 50 Index,11,OK,coingecko_coins_id_categories,2026-06-28T22:24:33.788059+00:00,
dogecoin,doge,Dogecoin,Smart Contract Platform,Smart Contract Platform|Meme|Dog-Themed|Elon Musk-Inspired|Proof of Work (PoW)|GMCI Meme Index|GMCI 30 Index|GMCI Index|Coinbase 50 Index|4chan-Themed,10,OK,coingecko_coins_id_categories,2026-06-28T22:24:40.579319+00:00,
pepe,pepe,Pepe,BNB Chain Ecosystem,BNB Chain Ecosystem|Avalanche Ecosystem|Meme|Arbitrum Ecosystem|Ethereum Ecosystem|Frog-Themed|GMCI Meme Index|GMCI Index|The Boy’s Club|4chan-Themed,10,OK,coingecko_coins_id_categories,2026-06-28T22:25:35.058265+00:00,
sui,sui,Sui,Smart Contract Platform,Smart Contract Platform|Binance Launchpool|Layer 1 (L1)|Sui Ecosystem|Coinbase Ventures Portfolio|Proof of Stake (PoS)|Andreessen Horowitz (a16z) Portfolio|YZi Labs (Prev. Binance Labs) Portfolio|GMCI Layer 1 Index|Circle Ventures Portfolio|GMCI Index|Made in USA,12,OK,coingecko_coins_id_categories,2026-06-28T22:25:41.773949+00:00,
binancecoin,bnb,BNB,Smart Contract Platform,Smart Contract Platform|Exchange-based Tokens|BNB Chain Ecosystem|Centralized Exchange (CEX) Token|Layer 1 (L1)|Ethereum Ecosystem|Alleged SEC Securities|FTX Holdings|Proof of Stake (PoS)|GMCI Layer 1 Index|GMCI 30 Index|GMCI Index|Made in China,13,OK,coingecko_coins_id_categories,2026-06-28T22:25:48.550618+00:00,
cardano,ada,Cardano,Smart Contract Platform,Smart Contract Platform|Layer 1 (L1)|Cardano Ecosystem|Proof of Stake (PoS)|GMCI Layer 1 Index|GMCI 30 Index|GMCI Index|Made in USA|Coinbase 50 Index,9,OK,coingecko_coins_id_categories,2026-06-28T22:25:55.271548+00:00,
zcash,zec,Zcash,Privacy Coins,Privacy Coins|Layer 1 (L1)|Near Protocol Ecosystem|Zero Knowledge (ZK)|Proof of Work (PoW)|Pantera Capital Portfolio|Made in USA|Coinbase 50 Index|Quantum-Resistant|Privacy,10,OK,coingecko_coins_id_categories,2026-06-28T22:26:02.051075+00:00,
dogwifcoin,wif,dogwifhat,Solana Ecosystem,Solana Ecosystem|Meme|Dog-Themed|Solana Meme|GMCI Meme Index|GMCI Index|Unichain Ecosystem,7,OK,coingecko_coins_id_categories,2026-06-28T22:26:09.155504+00:00,
