check_name,status,detail
grand_closeout_exists,PASS,PHASE_12C_GRAND_TRANSPARENCY_CLOSEOUT.md exists
transparency_readme_exists,PASS,docs/factor_library_transparency/README.md exists
data_lineage_exists,PASS,docs/factor_library_transparency/data_lineage.md exists
workflow_map_exists,PASS,docs/factor_library_transparency/workflow_map.md exists
factor_handbook_exists,PASS,docs/factor_library_transparency/factor_handbook.md exists
signal_handbook_exists,PASS,docs/factor_library_transparency/signal_construction_handbook.md exists
evaluation_methodology_exists,PASS,docs/factor_library_transparency/evaluation_methodology.md exists
phase_summary_table_exists,PASS,docs/factor_library_transparency/phase_summary_table.csv exists
risk_register_exists,PASS,docs/factor_library_transparency/risk_register.csv exists
pm_decision_memo_exists,PASS,docs/factor_library_transparency/pm_decision_memo_phase13_readiness.md exists
phase13_checklist_exists,PASS,docs/factor_library_transparency/phase13_readiness_checklist.csv exists
phase13_not_started,PASS,No phase13 artifacts found
no_real_execution_claim,PASS,No real execution claims in any document
no_alpha_claim,PASS,No alpha claims in any document
no_production_claim,PASS,No production claims in any document
phase12b_evidence_referenced,PASS,Phase 12B mid-cost +0.209 referenced in grand closeout
all_10_factors_documented,PASS,factor_handbook.md covers all 10 CANDIDATE_REVIEW factors
