node_id,node_name,documented_authority,actual_script_or_module,documented_input,actual_input,documented_output,actual_output,documented_dataset_id,actual_dataset_id,path_style,status_from_control_center,status_from_manifest,status_from_file_register,status_from_orphan_audit,observed_issue,severity,recommended_next_action
raw_data,Raw Data Download,scripts/download_full_binance_1h_universe.py,scripts/download_full_binance_1h_universe.py,Binance S3 API,Binance S3 API + exchangeInfo API,data/cache/<dataset>/bars_1h.parquet,data/binance_vision_1h_v1_6/klines/<SYM>/ + download manifest,N/A,N/A,ABSOLUTE (/root/clawd/...),ACTIVE_MAINLINE,active_mainline,ACTIVE_MAINLINE,LOW,No dataset_id param; hardcoded absolute paths; output path does not match canonical data/cache/ layout,HIGH,Add --dataset-id param; replace absolute paths with repo-relative
universe,Universe Build,scripts/build_crypto_top50_universe.py,scripts/build_crypto_top50_universe.py,Binance exchangeInfo API,Binance exchangeInfo API,data/universe/<dataset>/universe_snapshots.parquet,data/cache/crypto_top50_usdt_perp_1h/manifest.json + universe_membership.parquet,crypto_top50_usdt_perp_monthly_volume_top50_current_listed_v1,crypto_top50_usdt_perp_1h (output dir),ABSOLUTE (/root/clawd/...),ACTIVE_MAINLINE,active_mainline,ACTIVE_MAINLINE,LOW,Uses 24h snapshot volume but field named trailing_30d_dollar_volume; hardcoded absolute paths; output dir differs from documented name,HIGH,Fix volume label; add --dataset-id param; replace absolute paths
labels,Labels / Forward Returns,scripts/build_labels.py,scripts/build_labels.py,data/cache/<dataset>/bars_1h.parquet,data/cache/<dataset>/bars_1h.parquet,data/features/<dataset>/labels.parquet,data/features/<dataset>/labels.parquet + labels_manifest.json,crypto_usdt_perp_monthly_volume_top50_current_listed_1h_v1 (caller must specify),REQUIRES --dataset-id (no default),RELATIVE (__file__),ACTIVE_MAINLINE,active_mainline,ACTIVE_MAINLINE,LOW,No default dataset_id — caller must always specify; otherwise clean,LOW,Consider adding default dataset_id
factor_specs,Factor Metadata,scripts/factor_specs.py,scripts/factor_specs.py,N/A (library module),N/A (library module),FactorSpec dataclass,FactorSpec dataclass,N/A,N/A,N/A (pure Python),ACTIVE_MAINLINE,active_mainline,ACTIVE_MAINLINE,LOW,None observed,LOW,No action needed
factor_ops,Factor Operators,scripts/factor_ops.py,scripts/factor_ops.py,N/A (library module),N/A (library module),Primitive operators (delay/delta/rolling_mean/zscore/ema),Primitive operators,N/A,N/A,N/A (pure Python),ACTIVE_MAINLINE,active_mainline,ACTIVE_MAINLINE,LOW,None observed,LOW,No action needed
factor_registry,Factor Definitions,scripts/factor_formula_registry.py,scripts/factor_formula_registry.py,Imports from factor_specs.py + factor_ops.py,Imports from factor_specs.py + factor_ops.py,REGISTRY list of FactorSpec,REGISTRY list of FactorSpec (65 factors),N/A,N/A,N/A (pure Python),ACTIVE_MAINLINE,active_mainline,ACTIVE_MAINLINE,LOW,None observed,LOW,No action needed
factor_values,Factor Values,scripts/build_factor_values.py,scripts/build_factor_values.py,data/cache/<dataset>/bars_1h.parquet + REGISTRY,data/cache/<dataset>/bars_1h.parquet + REGISTRY,data/features/<dataset>/<factor>/factor_values.parquet,data/features/<dataset>/<factor>/factor_values.parquet,crypto_top50_usdt_perp_1h (DEFAULT),crypto_top50_usdt_perp_1h (DEFAULT),RELATIVE (__file__),ACTIVE_MAINLINE,active_mainline,ACTIVE_MAINLINE,LOW,Default dataset_id differs from evaluator default; writes to crypto_top50_usdt_perp_1h but evaluators read from crypto_usdt_perp_monthly_volume_top50_current_listed_1h_v1,BLOCKER,Align default dataset_id with evaluator or establish canonical symlink
factor_evaluation,Factor-Level Evaluation,scripts/evaluate_factors.py,scripts/evaluate_factors.py,data/features/<dataset>/<factor>/factor_values.parquet + labels.parquet,data/features/crypto_usdt_perp_monthly_volume_top50_current_listed_1h_v1/<factor>/factor_values.parquet + labels.parquet,research/factor_runs/crypto_top50_factor_library/factor_level_evaluation/,research/factor_runs/crypto_top50_factor_library/factor_level_evaluation/,crypto_usdt_perp_monthly_volume_top50_current_listed_1h_v1 (HARDCODED),crypto_usdt_perp_monthly_volume_top50_current_listed_1h_v1 (HARDCODED),RELATIVE (__file__),ACTIVE_MAINLINE,active_mainline,ACTIVE_MAINLINE,LOW,No dataset_id param — hardcoded; otherwise functional,MEDIUM,Add --dataset-id param with current default
factor_intake,New Factor Intake,scripts/run_factor_intake.py,scripts/run_factor_intake.py,--factor-ids + --run-id,--factor-ids + --run-id + optional --dataset-id,research/factor_runs/.../factor_intake/<run_id>/,research/factor_runs/.../factor_intake/<run_id>/ (17 artifacts),crypto_usdt_perp_monthly_volume_top50_current_listed_1h_v1 (DEFAULT),crypto_usdt_perp_monthly_volume_top50_current_listed_1h_v1 (DEFAULT),RELATIVE (__file__),ACTIVE_MAINLINE,active_mainline,ACTIVE_MAINLINE,LOW,None observed,LOW,No action needed
factor_state,State Generation,scripts/build_factor_library_state.py,scripts/build_factor_library_state.py,factor_values + evaluation CSVs + catalog + integrity report,factor_values + evaluation CSVs + catalog + integrity report + signal component manifest,factor_library_state.json + factor_library_state.md,factor_library_state.json + factor_library_state.md,crypto_usdt_perp_monthly_volume_top50_current_listed_1h_v1 (HARDCODED),crypto_usdt_perp_monthly_volume_top50_current_listed_1h_v1 (HARDCODED),RELATIVE (__file__),ACTIVE_MAINLINE,active_mainline,ACTIVE_MAINLINE,LOW,None observed,LOW,No action needed
signal_panel,Signal Panel Construction,scripts/build_phase9b_signal_panel.py,scripts/build_phase9b_signal_panel.py,data/features/<dataset>/<factor>/factor_values.parquet (10 factors),data/features/crypto_usdt_perp_monthly_volume_top50_current_listed_1h_v1/<factor>/factor_values.parquet (10 factors),research/factor_runs/.../phase9b_signal_panel.parquet + manifests,research/factor_runs/.../phase9b_signal_panel.parquet + 4 support files,crypto_usdt_perp_monthly_volume_top50_current_listed_1h_v1 (HARDCODED),crypto_usdt_perp_monthly_volume_top50_current_listed_1h_v1 (HARDCODED),RELATIVE (__file__),ACTIVE_MAINLINE,active_mainline,ACTIVE_MAINLINE,LOW,10 factor IDs hardcoded in script; no dataset_id param,MEDIUM,Consider parameterizing factor IDs and dataset_id
signal_evaluation,Signal-Level Evaluation,scripts/evaluate_signals.py,scripts/evaluate_signals.py,--signal-panel + --labels + --signals + --horizons,--signal-panel + --labels + --signals + --horizons,--output-dir/<signal>_<horizon>_rank_ic.csv + quantile_returns.csv,--output-dir/<signal>_<horizon>_rank_ic.csv + quantile_returns.csv + manifest,N/A (explicit paths),N/A (explicit paths),RELATIVE (__file__),ACTIVE_MAINLINE,active_mainline,ACTIVE_MAINLINE,LOW,None observed,LOW,No action needed
signal_evaluation_api,Signal Evaluation API,src/momentum/signal_evaluation/,src/momentum/signal_evaluation/,Python module imports,Python module imports,Evaluation functions,Evaluation functions,N/A,N/A,N/A (Python module),ACTIVE_MAINLINE,active_mainline,N/A (not in register),LOW,Not listed in FILE_STATUS_REGISTER,LOW,Add to FILE_STATUS_REGISTER
