check_id,check_name,status,notes
H4R-01,RankIC parity regression diagnosed,PASS,ordinal rank → average rank for ties
H4R-02,_rank_rows uses average tie-breaking,PASS,scipy-compatible average rank
H4R-03,RankIC 12/12 PASS_ROUNDED_REFERENCE,PASS,all diff < 5e-07
H4R-04,Spread legacy 12/12 PASS_ROUNDED_REFERENCE,PASS,
H4R-05,H3 gate OPEN_FULL_WRAPPER,PASS,
H4R-06,no tolerance widening,PASS,
H4R-07,reference implementations retained as fallback,PASS,
H4R-08,public API unchanged,PASS,
H4R-09,benchmark CSV updated,PASS,
H4R-10,14 unit tests pass (including tie test),PASS,
H4R-11,diagnostics CSV created,PASS,phase12d_h4_r_rankic_regression_diagnostics.csv
H4R-12,Phase 13 NOT STARTED,PASS,
H4R-13,no real execution,PASS,
H4R-14,no alpha claim,PASS,
H4R-15,no production claim,PASS,
