check_id,check_name,status,evidence,notes
QC-01,all new factor IDs are unique,PASS,12 new IDs verified against existing 53 — no duplicates,Duplicate audit passed
QC-02,all new factors registered in factor_formula_registry.py,PASS,65 total factors in REGISTRY,12 new FactorSpec entries added
QC-03,all new factors have required_columns populated,PASS,FactorSpec entries have required_columns,close or close+quote_volume
QC-04,all new factors have lookback_window populated,PASS,FactorSpec entries have lookback_window,Range: 1-120
QC-05,no new factor requires taker/funding/open_interest/liquidation/orderbook data,PASS,All 12 use only close/high/low/quote_volume,OHLCV only
QC-06,check_factor_registry_integrity.py PASS,PASS,65 factors checked 0 critical issues,BUILDABLE: 12
QC-07,build_factor_values.py generated factor_values.parquet for each new factor,PASS,12 parquet files verified at correct path,All 120h coverage >= 97%
QC-08,partial evaluation with --output-suffix completed,PASS,516s 12/12 computed 0 missing,Phase13a_p2_new_factors suffix
QC-09,full canonical evaluate_factors.py completed,PASS,2581s 65 registered 59 computed 6 missing,43m40s runtime
QC-10,factor_level_evaluation_manifest.json count updated,PASS,65 registered 59 computed,manifest.json updated
QC-11,factor_level_metric_panel.csv includes all new factors,PASS,260 rows (65 factors x 4 horizons),New factors present
QC-12,factor_level_candidate_review.csv includes all new factors,PASS,65 rows including 12 new factors,All 12 new factors present
QC-13,factor-evaluation.html count updated,PASS,65 registered 59 computed 6 missing 10 in signal,HTML subtitle updated
QC-14,new factors are not used_in_current_signal,PASS,0 new factors in signal panel,All new factors have used_in_current_signal=False
QC-15,build_phase9b_signal_panel.py not modified,PASS,git diff shows no changes to signal builder,Forbidden change
QC-16,evaluate_signals.py not modified,PASS,git diff shows no changes,Forbidden change
QC-17,raw bars not modified,PASS,data/cache/ not modified,Forbidden change
QC-18,labels not modified,PASS,labels.parquet not modified,Forbidden change
QC-19,no production claim,PASS,Only disclaimers (NOT production),Anti-production check
QC-20,no tradeable alpha claim,PASS,Only disclaimers (NOT tradeable alpha),Anti-alpha check
QC-21,no live trading claim,PASS,Only disclaimers (NOT live trading),Anti-live-trading check
QC-22,terminology repair applied,PASS,evaluate_factors.py line 710: current research signal panel,Production signal -> current research signal panel
QC-23,check_factor_ic_parity.py PASS,PASS,10/10 PASS max diff=0.00e+00,Parity verified
QC-24,factor catalog integrity PASS,PASS,65 factors 10 in signal,6 MISSING_INPUT_DATA 12 COMPUTED
QC-25,rev_1h top new factor by adjusted IC,PASS,rev_1h adj=+0.036506 t=30.69 at 1h,Best new factor
QC-26,rev_1h has strongest adjusted ICIR among new factors,PASS,rev_1h adj_icir=+0.2300 at 1h,Strongest new factor ICIR
