factor_id,issue_type,evidence,current_expected_direction,raw_ic_sign,adjusted_ic_sign,signal_transform,risk_if_unfixed,recommended_next_step
mom_20h,PHASE6H_DIRECTION_MISMATCH,Both negative; empirical sign contradicts expected,positive,NEGATIVE,NEGATIVE,NOT_IN_SIGNAL,direction inversion could flip signal interpretation,Review in H12-B
reversal_5h,PHASE6H_DIRECTION_MISMATCH,Both positive; empirical sign contradicts expected,negative,POSITIVE,NEGATIVE,NOT_IN_SIGNAL,direction inversion could flip signal interpretation,Review in H12-B
tech_macd,PHASE6H_DIRECTION_MISMATCH,Both negative; weak but consistent mismatch,positive,NEGATIVE,NEGATIVE,NOT_IN_SIGNAL,direction inversion could flip signal interpretation,Review in H12-B
wq101_alpha101,PHASE6H_DIRECTION_MISMATCH,Both negative; empirical sign contradicts expected,conditional,NEGATIVE,NEGATIVE,NOT_IN_SIGNAL,direction inversion could flip signal interpretation,Review in H12-B
q158_high_low_range,CONDITIONAL_DIAGNOSTIC,direction unknown; kept for diagnostic,conditional,NEGATIVE,NEGATIVE,NOT_IN_SIGNAL,low,No action
range_1h,CONDITIONAL_IN_SIGNAL,expected_direction=conditional but used in signal as position_timing_overlay,conditional,NEGATIVE,NEGATIVE,MULTIPLY_BY_NEG1,direction inversion could flip signal interpretation,Review in H12-B
range_4h,CONDITIONAL_IN_SIGNAL,expected_direction=conditional but used in signal as position_timing_overlay,conditional,NEGATIVE,NEGATIVE,MULTIPLY_BY_NEG1,direction inversion could flip signal interpretation,Review in H12-B
price_pos_24h,CONDITIONAL_IN_SIGNAL,expected_direction=conditional but used in signal as position_timing_overlay,conditional,NEGATIVE,NEGATIVE,MULTIPLY_BY_NEG1,direction inversion could flip signal interpretation,Review in H12-B
xs_rank_vol,CONDITIONAL_IN_SIGNAL,expected_direction=conditional but used in signal as liquidity_gate,conditional,NEGATIVE,NEGATIVE,RANK_PERCENTILE_GATE,direction inversion could flip signal interpretation,Review in H12-B
rev_3h,IC_SIGN_VS_EXPECTED,expected negative but raw_ic_1h=0.0344,negative,POSITIVE,NEGATIVE,NOT_IN_SIGNAL,low,No action
rsi_14h,CONSISTENT_OR_NA,no direction issue detected,negative,NEGATIVE,POSITIVE,NOT_IN_SIGNAL,low,No action
bb_zscore_20h,CONSISTENT_OR_NA,no direction issue detected,negative,NEGATIVE,POSITIVE,NOT_IN_SIGNAL,low,No action
volatility_20h,CONSISTENT_OR_NA,no direction issue detected,negative,NEGATIVE,POSITIVE,NOT_IN_SIGNAL,low,No action
