factor_id,family,required_columns,missing_required_columns,lookback_window,expected_direction,registry_status,lifecycle_status,factor_values_status,factor_ic_status,coverage,missing_rate,raw_ic_1h,adj_ic_1h,raw_ic_4h,adj_ic_4h,raw_ic_24h,adj_ic_24h,raw_ic_72h,adj_ic_72h,used_in_current_signal,signal_role,recommendation,notes
mom_20h,momentum,close,,20,positive,DIAGNOSTIC_PROBE,CANDIDATE,EXISTS,COMPUTED,,,-0.022758,-0.022758,-0.03003,-0.03003,-0.029745,-0.029745,-0.019024,-0.019024,False,,Moderate IC; monitor,close / close_20h_ago - 1
reversal_5h,momentum,close,,5,positive,DIAGNOSTIC_PROBE,CANDIDATE,EXISTS,COMPUTED,,,0.032322,0.032322,0.03202,0.03202,0.021029,0.021029,0.010636,0.010636,False,,Strong IC candidate; consider for future signal variant,-(close / close_5h_ago - 1); formula is already sign-inverted to represent reversal hypothesis; higher factor_value means stronger prior loser / stronger reversal signal. expected_direction set to positive to avoid double inversion in direction-adjusted IC.
volatility_20h,volatility,close,,21,negative,DIAGNOSTIC_PROBE,CANDIDATE,EXISTS,COMPUTED,,,-0.038766,0.038766,-0.057342,0.057342,-0.089124,0.089124,-0.100062,0.100062,False,,Strong IC candidate; consider for future signal variant,"rolling std of returns, 20 bars"
rsi_14h,technical,close,,14,negative,DIAGNOSTIC_PROBE,CANDIDATE,EXISTS,COMPUTED,,,-0.027987,0.027987,-0.033554,0.033554,-0.028746,0.028746,-0.015857,0.015857,False,,Moderate IC; monitor,Wilder RSI 14
bb_zscore_20h,technical,close,,20,negative,DIAGNOSTIC_PROBE,CANDIDATE,EXISTS,COMPUTED,,,-0.030481,0.030481,-0.033444,0.033444,-0.025119,0.025119,-0.014395,0.014395,False,,Strong IC candidate; consider for future signal variant,(close - mean20) / std20
wq101_alpha101,wq101,open; high; low; close,,1,conditional,DIAGNOSTIC_PROBE,DIAGNOSTIC_ONLY,EXISTS,DIRECTION_UNKNOWN,,,-0.025392,-0.025392,-0.019806,-0.019806,-0.008697,-0.008697,-0.002933,-0.002933,False,,Direction unknown; keep for diagnostic,(close - open) / (high - low + eps); direction intentionally set to conditional to avoid post-hoc fitting
wq101_alpha12,wq101,volume; close,,2,conditional,DIAGNOSTIC_PROBE,DIAGNOSTIC_ONLY,EXISTS,DIRECTION_UNKNOWN,,,0.006941,0.006941,0.00829,0.00829,0.007635,0.007635,0.006698,0.006698,False,,Direction unknown; keep for diagnostic,sign(dvol) * (-dclose); lookback=2 because delta(1) needs t and t-1
wq101_alpha53,wq101,high; low; close,,10,conditional,DIAGNOSTIC_PROBE,DIAGNOSTIC_ONLY,EXISTS,DIRECTION_UNKNOWN,,,0.0181,0.0181,0.013735,0.013735,0.005462,0.005462,0.002919,0.002919,False,,Direction unknown; keep for diagnostic,"-delta(intraday_position, 9); lookback=10 because diff(9) needs t and t-9"
q158_high_low_range,alpha158,high; low; close,,1,conditional,DIAGNOSTIC_PROBE,DIAGNOSTIC_ONLY,EXISTS,DIRECTION_UNKNOWN,,,-0.037116,-0.037116,-0.052917,-0.052917,-0.080661,-0.080661,-0.090894,-0.090894,False,,Direction unknown; keep for diagnostic,(high - low) / close
vwap_dev_20h,alpha158_ohlcv,close; volume,,20,conditional,DIAGNOSTIC_PROBE,DIAGNOSTIC_ONLY,EXISTS,DIRECTION_UNKNOWN,,,-0.026422,-0.026422,-0.027278,-0.027278,-0.017482,-0.017482,-0.003855,-0.003855,False,,Direction unknown; keep for diagnostic,"(close - vwap_20h) / vwap_20h; vwap_20h = sum(close*vol,20)/sum(vol,20)"
wvma_20h,alpha158_ohlcv,close; volume,,21,negative,DIAGNOSTIC_PROBE,CANDIDATE,EXISTS,COMPUTED,,,-0.029995,0.029995,-0.044325,0.044325,-0.068529,0.068529,-0.076279,0.076279,False,,Moderate IC; monitor,"rolling_std(ret*vol,20) / rolling_mean(vol,20); volume-weighted volatility"
vol_ret_corr_20h,alpha158_ohlcv,close; volume,,21,conditional,DIAGNOSTIC_PROBE,DIAGNOSTIC_ONLY,EXISTS,DIRECTION_UNKNOWN,,,-0.021082,-0.021082,-0.030517,-0.030517,-0.037671,-0.037671,-0.033965,-0.033965,False,,Direction unknown; keep for diagnostic,"rolling_corr(ret_1h, delta(volume,1), 20); return-volume correlation"
intraday_ret,alpha158_ohlcv,open; close,,1,conditional,DIAGNOSTIC_PROBE,DIAGNOSTIC_ONLY,EXISTS,DIRECTION_UNKNOWN,,,-0.036555,-0.036555,-0.028176,-0.028176,-0.011951,-0.011951,-0.004549,-0.004549,False,,Direction unknown; keep for diagnostic,(close - open) / open; 1h bar open-to-close return
klow_close,alpha158_ohlcv,open; low; close,,1,positive,DIAGNOSTIC_PROBE,CANDIDATE,EXISTS,COMPUTED,,,-0.027249,-0.027249,-0.03244,-0.03244,-0.046777,-0.046777,-0.054766,-0.054766,False,,Moderate IC; monitor,"(min(open,close) - low) / close; lower wick as fraction of close"
ksft_5h,alpha158_ohlcv,close,,6,conditional,DIAGNOSTIC_PROBE,DIAGNOSTIC_ONLY,EXISTS,DIRECTION_UNKNOWN,,,-0.004989,-0.004989,-0.004721,-0.004721,-0.007409,-0.007409,-0.007294,-0.007294,False,,Direction unknown; keep for diagnostic,"rolling_skewness(ret_1h, 5); short-window return skewness"
tech_macd,technical,close,,26,positive,DIAGNOSTIC_PROBE,CANDIDATE,EXISTS,COMPUTED,,,-0.010587,-0.010587,-0.014267,-0.014267,-0.009875,-0.009875,-0.006772,-0.006772,False,,Low IC; keep in registry,MACD histogram (EMA12-EMA26 signal)
tech_atr,technical,high; low; close,,15,conditional,DIAGNOSTIC_PROBE,DIAGNOSTIC_ONLY,EXISTS,DIRECTION_UNKNOWN,,,0.004487,0.004487,0.005673,0.005673,0.01534,0.01534,0.022704,0.022704,False,,Direction unknown; keep for diagnostic,Average True Range 14 bars
mom_5h,momentum,close,,5,positive,DIAGNOSTIC_PROBE,CANDIDATE,EXISTS,COMPUTED,,,-0.032322,-0.032322,-0.03202,-0.03202,-0.021029,-0.021029,-0.010636,-0.010636,False,,Strong IC candidate; consider for future signal variant,close / close_5h_ago - 1
mom_10h,momentum,close,,10,positive,DIAGNOSTIC_PROBE,CANDIDATE,EXISTS,COMPUTED,,,-0.027193,-0.027193,-0.029898,-0.029898,-0.026575,-0.026575,-0.013799,-0.013799,False,,Moderate IC; monitor,close / close_10h_ago - 1
mom_40h,momentum,close,,40,positive,DIAGNOSTIC_PROBE,CANDIDATE,EXISTS,COMPUTED,,,-0.017703,-0.017703,-0.025499,-0.025499,-0.028434,-0.028434,-0.021487,-0.021487,False,,Low IC; keep in registry,close / close_40h_ago - 1
rev_3h,reversal,close,,3,positive,DIAGNOSTIC_PROBE,CANDIDATE,EXISTS,COMPUTED,,,0.034385,0.034385,0.031795,0.031795,0.017209,0.017209,0.007994,0.007994,False,,Strong IC candidate; consider for future signal variant,-(close / close_3h_ago - 1); formula is already sign-inverted to represent reversal hypothesis; higher factor_value means stronger prior loser / stronger reversal signal. expected_direction set to positive to avoid double inversion in direction-adjusted IC.
rev_10h,reversal,close,,10,positive,DIAGNOSTIC_PROBE,CANDIDATE,EXISTS,COMPUTED,,,0.027193,0.027193,0.029898,0.029898,0.026575,0.026575,0.013799,0.013799,False,,Moderate IC; monitor,-(close / close_10h_ago - 1); formula is already sign-inverted to represent reversal hypothesis; higher factor_value means stronger prior loser / stronger reversal signal. expected_direction set to positive to avoid double inversion in direction-adjusted IC.
rev_24h,reversal,close,,24,positive,DIAGNOSTIC_PROBE,CANDIDATE,EXISTS,COMPUTED,,,0.022422,0.022422,0.029998,0.029998,0.029378,0.029378,0.020075,0.020075,False,,Moderate IC; monitor,-(close / close_24h_ago - 1); formula is already sign-inverted to represent reversal hypothesis; higher factor_value means stronger prior loser / stronger reversal signal. expected_direction set to positive to avoid double inversion in direction-adjusted IC.
vol_5h,volatility,close,,6,negative,DIAGNOSTIC_PROBE,ACTIVE_IN_SIGNAL,EXISTS,ACTIVE_IN_SIGNAL_COMPUTED,,,-0.033746,0.033746,-0.046994,0.046994,-0.073047,0.073047,-0.080509,0.080509,True,risk_pressure,ACTIVE — no action needed,"rolling std of 1h returns, 5 bars (lookback=6: pct_change needs t-1)"
vol_40h,volatility,close,,41,negative,DIAGNOSTIC_PROBE,ACTIVE_IN_SIGNAL,EXISTS,ACTIVE_IN_SIGNAL_COMPUTED,,,-0.038423,0.038423,-0.057193,0.057193,-0.091597,0.091597,-0.103597,0.103597,True,risk_pressure,ACTIVE — no action needed,"rolling std of 1h returns, 40 bars (lookback=41)"
vol_ratio_5_20,volatility,close,,21,conditional,DIAGNOSTIC_PROBE,DIAGNOSTIC_ONLY,EXISTS,DIRECTION_UNKNOWN,,,-0.006117,-0.006117,-0.004445,-0.004445,-0.004167,-0.004167,-0.000535,-0.000535,False,,Direction unknown; keep for diagnostic,"std(ret,5) / std(ret,20)"
range_1h,range_position,high; low; close,,1,conditional,DIAGNOSTIC_PROBE,ACTIVE_IN_SIGNAL,EXISTS,ACTIVE_IN_SIGNAL_COMPUTED,,,-0.037116,-0.037116,-0.052917,-0.052917,-0.080661,-0.080661,-0.090894,-0.090894,True,position_overlay,ACTIVE — no action needed,(high - low) / close
range_4h,range_position,high; low; close,,4,conditional,DIAGNOSTIC_PROBE,ACTIVE_IN_SIGNAL,EXISTS,ACTIVE_IN_SIGNAL_COMPUTED,,,-0.036491,-0.036491,-0.052566,-0.052566,-0.081176,-0.081176,-0.092339,-0.092339,True,position_overlay,ACTIVE — no action needed,(HH4 - LL4) / close
range_24h,range_position,high; low; close,,24,conditional,DIAGNOSTIC_PROBE,DIAGNOSTIC_ONLY,EXISTS,DIRECTION_UNKNOWN,,,-0.033058,-0.033058,-0.048792,-0.048792,-0.078669,-0.078669,-0.094086,-0.094086,False,,Direction unknown; keep for diagnostic,(HH24 - LL24) / close
price_pos_24h,price_position,high; low; close,,24,conditional,DIAGNOSTIC_PROBE,ACTIVE_IN_SIGNAL,EXISTS,ACTIVE_IN_SIGNAL_COMPUTED,,,-0.021024,-0.021024,-0.020822,-0.020822,-0.009577,-0.009577,0.001498,0.001498,True,position_overlay,ACTIVE — no action needed,(close - LL24) / (HH24 - LL24 + eps)
price_pos_72h,price_position,high; low; close,,72,conditional,DIAGNOSTIC_PROBE,DIAGNOSTIC_ONLY,EXISTS,DIRECTION_UNKNOWN,,,-0.015718,-0.015718,-0.018362,-0.018362,-0.011129,-0.011129,0.002561,0.002561,False,,Direction unknown; keep for diagnostic,(close - LL72) / (HH72 - LL72 + eps)
vol_zscore_20h,volume_liquidity,volume,,20,positive,DIAGNOSTIC_PROBE,CANDIDATE,EXISTS,COMPUTED,,,-0.006326,-0.006326,-0.007117,-0.007117,-0.001385,-0.001385,0.000762,0.000762,False,,Low IC; keep in registry,(volume - SMA20) / STD20
vol_zscore_48h,volume_liquidity,volume,,48,positive,DIAGNOSTIC_PROBE,CANDIDATE,EXISTS,COMPUTED,,,-0.006995,-0.006995,-0.008903,-0.008903,-0.004967,-0.004967,-0.001009,-0.001009,False,,Low IC; keep in registry,(volume - SMA48) / STD48
qvol_zscore_20h,quote_volume_liquidity,quote_volume,,20,positive,DIAGNOSTIC_PROBE,CANDIDATE,EXISTS,COMPUTED,,,-0.006858,-0.006858,-0.007968,-0.007968,-0.002139,-0.002139,0.000244,0.000244,False,,Low IC; keep in registry,(quote_volume - SMA20) / STD20
qvol_zscore_48h,quote_volume_liquidity,quote_volume,,48,positive,DIAGNOSTIC_PROBE,CANDIDATE,EXISTS,COMPUTED,,,-0.007457,-0.007457,-0.009842,-0.009842,-0.006019,-0.006019,-0.002142,-0.002142,False,,Low IC; keep in registry,(quote_volume - SMA48) / STD48
ma_gap_5_20,trend_ma,close,,20,positive,DIAGNOSTIC_PROBE,CANDIDATE,EXISTS,COMPUTED,,,-0.016,-0.016,-0.023278,-0.023278,-0.025637,-0.025637,-0.013644,-0.013644,False,,Low IC; keep in registry,(SMA5 - SMA20) / SMA20
ma_gap_10_40,trend_ma,close,,40,positive,DIAGNOSTIC_PROBE,CANDIDATE,EXISTS,COMPUTED,,,-0.01075,-0.01075,-0.020286,-0.020286,-0.023797,-0.023797,-0.016357,-0.016357,False,,Low IC; keep in registry,(SMA10 - SMA40) / SMA40
