signal_id,horizon,rankic_direction,mean_spread_direction,median_spread_direction,winsorized_direction,tail_trim_direction,proposed_direction_policy,reason
signal_v0_core_only,1h,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,KEEP_ORIGINAL_FOR_DIAGNOSTIC,RankIC positive and median spread positive → signal has value for median cross-section; mean spread negative is outlier-dominated; keep original for diagnostic; do not short bucket 0
signal_v0_core_only,4h,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,KEEP_ORIGINAL_FOR_DIAGNOSTIC,Same pattern as 1h: RankIC positive median positive but mean negative; bucket 0 guard recommended
signal_v0_core_only,24h,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,INVERSION_REVIEW_24_72_ONLY,RankIC negative and mean spread negative → inverting may help; median is positive suggesting non-monotonic tails; inversion review needed
signal_v0_core_only,72h,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,INVERSION_REVIEW_24_72_ONLY,Same pattern as 24h: all negative except median; inversion review needed
signal_v0_pm_full_structured,1h,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,KEEP_ORIGINAL_FOR_DIAGNOSTIC,RankIC positive median positive → keep original; bucket 0 guard recommended; do not short bucket 0
signal_v0_pm_full_structured,4h,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,KEEP_ORIGINAL_FOR_DIAGNOSTIC,Same pattern as 1h: keep original with bucket 0 guard
signal_v0_pm_full_structured,24h,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,INVERSION_REVIEW_24_72_ONLY,All metrics negative except median; inversion review needed for 24h
signal_v0_pm_full_structured,72h,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,BLOCK_SIGNAL_FOR_PHASE11,All metrics negative including median; robust spread still negative; block for Phase 11
signal_v0_family_balanced_diagnostic,1h,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,KEEP_ORIGINAL_FOR_DIAGNOSTIC,RankIC positive median positive → keep original for diagnostic
signal_v0_family_balanced_diagnostic,4h,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,KEEP_ORIGINAL_FOR_DIAGNOSTIC,Same pattern as 1h
signal_v0_family_balanced_diagnostic,24h,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,INVERSION_REVIEW_24_72_ONLY,Inversion review needed
signal_v0_family_balanced_diagnostic,72h,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,BLOCK_SIGNAL_FOR_PHASE11,All metrics negative; block for Phase 11
