check_id,check_name,status,notes
H3-01,evaluate_signals.py exists,PASS,scripts/evaluate_signals.py
H3-02,evaluate_signals.py --help runs,PASS,test verified
H3-03,CLI recognizes required args,PASS,--signal-panel --labels --signals --horizons --output-dir
H3-04,imports from momentum.signal_evaluation,PASS,no old script imports
H3-05,no inline rank_ic or spread functions,PASS,
H3-06,default spread_mode is standard,PASS,
H3-07,legacy_phase10a mode available,PASS,--spread-mode legacy_phase10a
H3-08,writes manifest.json,PASS,
H3-09,old scripts archived,PASS,archive/legacy_phase_scripts/phase10/
H3-10,deprecated stubs in scripts/,PASS,4 stubs with DEPRECATED marker
H3-11,archive README exists,PASS,archive/legacy_phase_scripts/phase10/README.md
H3-12,old outputs not modified,PASS,phase10a_*.csv untouched
H3-13,Phase 13 NOT STARTED,PASS,
H3-14,no real execution,PASS,
H3-15,no alpha claim,PASS,
H3-16,no production claim,PASS,
H3-17,10 unit tests pass,PASS,
