check_id,check_name,expected,actual,status,notes
C01,factor_source_map_json_exists,exists,exists,PASS,
C02,factor_source_map_html_exists,exists,exists,PASS,
C03,factor_source_map_md_exists,exists,exists,PASS,
C04,json_contains_vol_5h,true,true,PASS,Phase 9B factor
C05,json_contains_vol_40h,true,true,PASS,Phase 9B factor
C06,json_contains_downside_vol_20h,true,true,PASS,Phase 9B factor
C07,json_contains_vol_of_vol_20h,true,true,PASS,Phase 9B factor
C08,json_contains_rsi_7h,true,true,PASS,Phase 9B factor
C09,json_contains_rsi_28h,true,true,PASS,Phase 9B factor
C10,json_contains_xs_rank_vol,true,true,PASS,Phase 9B factor
C11,json_contains_range_1h,true,true,PASS,Phase 9B factor
C12,json_contains_range_4h,true,true,PASS,Phase 9B factor
C13,json_contains_price_pos_24h,true,true,PASS,Phase 9B factor
C14,mom_20h_not_in_phase9b,false,false,PASS,mom_20h excluded from Phase 9B
C15,wq101_alpha101_not_in_surviving,false,false,PASS,wq101 excluded from surviving
C16,core_formula_060_040,0.60/0.40,0.60/0.40,PASS,Risk pressure / oscillator weights
C17,overlay_factors_not_surviving_core,false,false,PASS,xs_rank_vol/range_1h/range_4h/price_pos_24h are overlay
C18,crypto_native_not_in_phase9b,false,false,PASS,All 6 crypto-native factors excluded
C19,data_range_has_source,source_of_range,source_of_range,PASS,Each data range has source_of_range field
C20,no_real_execution,disclaimer present,present,PASS,
C21,no_alpha_claim,disclaimer present,present,PASS,
C22,no_production_claim,disclaimer present,present,PASS,
C23,phase13_not_started,NOT STARTED,NOT STARTED,PASS,
C24,repair_notice_in_html,present,present,PASS,Alert box with Phase 12D-C-R repair notice
C25,channel_structure_correct,4 channels,4 channels,PASS,RISK_PRESSURE/TECHNICAL_REVERSION/LIQUIDITY_GATE/RANGE_POSITION
C26,surviving_candidate_6_core,6 core factors,6 core factors,PASS,vol_5h/vol_40h/downside_vol_20h/vol_of_vol_20h/rsi_7h/rsi_28h
C27,pm_full_structured_formula,correct,correct,PASS,raw_core × liquidity_gate × pos_multiplier
C28,family_balanced_formula,correct,correct,PASS,0.25×risk+0.25×osc+0.25×pos+0.25×(liq-0.75)
