factor_id,factor_name,factor_family,formula_type,window,expected_direction,required_columns,known_at_rule,implementation_status,evaluation_status,artifact_path,notes
mom_20h,20h Momentum,momentum,close/close_lag-1,20,positive,close,t0,IMPLEMENTED,DIAGNOSTIC_PROBE,data/features/crypto_top50_usdt_perp_1h/mom_20h/factor_values.parquet,V0 probe
reversal_5h,5h Reversal,mean_reversion,-(close/close_lag-1),5,negative,close,t0,IMPLEMENTED,DIAGNOSTIC_PROBE,data/features/crypto_top50_usdt_perp_1h/reversal_5h/factor_values.parquet,V0 probe
volatility_20h,20h Realized Vol,volatility,"std(ret_1h, 20)",20,negative,close,t0,IMPLEMENTED,DIAGNOSTIC_PROBE,data/features/crypto_top50_usdt_perp_1h/volatility_20h/factor_values.parquet,V0 probe
rsi_14h,14h RSI,technical,"RSI(close, 14)",14,negative,close,t0,IMPLEMENTED,DIAGNOSTIC_PROBE,data/features/crypto_top50_usdt_perp_1h/rsi_14h/factor_values.parquet,V0 probe
bb_zscore_20h,20h BB Z-Score,mean_reversion,(close-SMA20)/STD20,20,negative,close,t0,IMPLEMENTED,DIAGNOSTIC_PROBE,data/features/crypto_top50_usdt_perp_1h/bb_zscore_20h/factor_values.parquet,V0 probe
wq101_alpha101,WQ101 Alpha#101,intraday_position,(close-open)/(high-low+eps),1,positive,open;high;low;close,t0,IMPLEMENTED,DIAGNOSTIC_PROBE,data/features/crypto_top50_usdt_perp_1h/wq101_alpha101/factor_values.parquet,Phase 2E Batch 1 diagnostic probe; not alpha evidence.
wq101_alpha12,WQ101 Alpha#12,volume_price_momentum,sign(vol_delta)*(-close_delta),2,conditional,volume;close,t0,IMPLEMENTED,DIAGNOSTIC_PROBE,data/features/crypto_top50_usdt_perp_1h/wq101_alpha12/factor_values.parquet,Phase 2E Batch 1 diagnostic probe; expected_direction=conditional; not alpha evidence.
wq101_alpha53,WQ101 Alpha#53,intraday_position,"-1*delta(pos,9)",10,conditional,high;low;close,t0,IMPLEMENTED,DIAGNOSTIC_PROBE,data/features/crypto_top50_usdt_perp_1h/wq101_alpha53/factor_values.parquet,Phase 2E Batch 1 diagnostic probe; expected_direction=conditional; not alpha evidence.
q158_high_low_range,Alpha158 HL Range,volatility,(high-low)/close,1,conditional,high;low;close,t0,IMPLEMENTED,DIAGNOSTIC_PROBE,data/features/crypto_top50_usdt_perp_1h/q158_high_low_range/factor_values.parquet,Phase 2E Batch 1 diagnostic probe; expected_direction=conditional; not alpha evidence.
tech_macd,MACD Histogram,technical,EMA12-EMA26-signal,35,positive,close,t0,IMPLEMENTED,DIAGNOSTIC_PROBE,data/features/crypto_top50_usdt_perp_1h/tech_macd/factor_values.parquet,Phase 2E Batch 1 diagnostic probe; not alpha evidence.
tech_atr,ATR 14,volatility,"SMA(TR,14)",15,conditional,high;low;close,t0,IMPLEMENTED,DIAGNOSTIC_PROBE,data/features/crypto_top50_usdt_perp_1h/tech_atr/factor_values.parquet,Phase 2E Batch 1 diagnostic probe; expected_direction=conditional; not alpha evidence.
