check_id,check_name,description,expected,actual,status,notes
1,FACTOR_LIBRARY_HOME.md revised,Home page revised with framework vs run distinction,Yes,Yes,PASS,Rewritten with two-layer explanation
2,PROJECT_TREE_UPDATED.md revised,Project tree revised with framework vs run distinction,Yes,Yes,PASS,Header and research section updated
3,repository-map.html revised,Repository map HTML revised,Yes,Yes,PASS,Rule 1 updated + disclaimers added
4,file-ownership.html revised,File ownership HTML revised,Yes,Yes,PASS,ROADMAP description + framework note added
5,repo_map.json revised,JSON data file revised,Yes,Yes,PASS,run_id + disclaimers + doc labels added
6,factor_library_framework_vs_run_distinguished,Framework and current run clearly distinguished,Yes,Yes,PASS,All entry documents explain the two-layer architecture
7,ROADMAP_not_called_authoritative,FACTOR_LIBRARY_ROADMAP.md no longer called current authoritative,Yes,Yes,PASS,Changed to REFERENCE with explicit note
8,phase_12c_complete,Phase 12C explicitly marked as COMPLETE,Yes,Yes,PASS,In FACTOR_LIBRARY_HOME.md Current Status
9,phase_13_not_started,Phase 13 explicitly marked as NOT STARTED,Yes,Yes,PASS,In FACTOR_LIBRARY_HOME.md and disclaimers
10,no_real_execution,No real execution disclaimer present,Yes,Yes,PASS,In FACTOR_LIBRARY_HOME.md and repository-map.html
11,no_alpha_claim,No alpha claim disclaimer present,Yes,Yes,PASS,In FACTOR_LIBRARY_HOME.md and repository-map.html
12,no_production_claim,No production claim disclaimer present,Yes,Yes,PASS,In FACTOR_LIBRARY_HOME.md and repository-map.html
13,no_research_files_moved,No research files were moved or deleted,Yes,Yes,PASS,Read-only revision
14,no_research_results_changed,No research results were modified,Yes,Yes,PASS,Only documentation/website files changed
15,run_id_documented,Current run ID crypto_top50_usdt_perp_1h documented,Yes,Yes,PASS,In HOME + PROJECT_TREE + repo_map.json
16,doc_status_labels_defined,Document status label taxonomy defined,Yes,Yes,PASS,6 labels defined in HOME and PROJECT_TREE
17,audit_doc_supplemented,PHASE_12D_A audit document supplemented with errata,Yes,Yes,PASS,Framework vs run section + disclaimers added
18,repair_doc_exists,PHASE_12D_A_R_REPOSITORY_MAP_REPAIR.md exists,Yes,Yes,PASS,Primary deliverable of this repair phase
19,quality_checks_csv exists,This quality checks file exists,Yes,Yes,PASS,Self-referencing check
20,test_file_exists,test_phase12d_a_r_repository_map_repair.py exists,Yes,Yes,PASS,Unit tests for repair phase
