factor_id,family,expected_direction,required_columns,lookback_window,formula_proxy,fv_exists
wq101_alpha1,wq101,conditional,close,25,"WorldQuant 101 Alpha#1: rank(ts_argmax(signedpower(returns<0 ? stddev(returns,20) : close,2),5))-0.5; panel rank semantics preserved",True
wq101_alpha2,wq101,conditional,open|close|volume,8,"WorldQuant 101 Alpha#2: -correlation(rank(delta(log(volume),2)), rank((close-open)/open), 6); panel rank semantics preserved",True
wq101_alpha3,wq101,conditional,open|volume,10,"WorldQuant 101 Alpha#3: -correlation(rank(open), rank(volume), 10); panel rank semantics preserved",True
wq101_alpha4,wq101,conditional,low,9,"WorldQuant 101 Alpha#4: -ts_rank(rank(low), 9); rank is cross-sectional, ts_rank is per symbol",True
wq101_alpha5,wq101,conditional,open|close|volume|quote_volume,10,"WorldQuant 101 Alpha#5: rank(open-mean(vwap,10)) * -abs(rank(close-vwap)); VWAP derived from quote_volume/volume",True
wq101_alpha7,wq101,conditional,close|volume,67,"WorldQuant 101 Alpha#7: if adv20 < volume then -ts_rank(abs(delta(close,7)),60)*sign(delta(close,7)) else -1",True
wq101_alpha8,wq101,conditional,open|close,15,"WorldQuant 101 Alpha#8: -rank(sum(open,5)*sum(returns,5)-delay(sum(open,5)*sum(returns,5),10)); panel rank semantics preserved",True
wq101_alpha10,wq101,conditional,close,5,WorldQuant 101 Alpha#10: rank(conditional signed close delta over rolling four-bar delta extrema),True
wq101_alpha11,wq101,conditional,close|volume|quote_volume,4,"WorldQuant 101 Alpha#11: (rank(ts_max(vwap-close,3))+rank(ts_min(vwap-close,3)))*rank(delta(volume,3))",True
wq101_alpha13,wq101,conditional,close|volume,5,"WorldQuant 101 Alpha#13: -rank(covariance(rank(close), rank(volume), 5)); panel rank semantics preserved",True
