check_id,check_name,status,notes
C01,factor-formula-cards.html exists,PASS,
C02,crypto-native-factor-formulas.html exists,PASS,
C03,factor_formula_cards.json exists,PASS,
C04,crypto_native_factor_formulas.json exists,PASS,
C05,all 10 Phase 9B factors have formula cards,PASS,vol_5h/vol_40h/downside_vol_20h/vol_of_vol_20h/rsi_7h/rsi_28h/xs_rank_vol/range_1h/range_4h/price_pos_24h
C06,all 6 surviving candidate factors have formula cards,PASS,vol_5h/vol_40h/downside_vol_20h/vol_of_vol_20h/rsi_7h/rsi_28h
C07,all 6 crypto-native factors have formula cards,PASS,funding_rate_change_24h/funding_rate_level_20h/funding_rate_zscore_80h/taker_buy_delta_5h/taker_buy_ratio_20h/taker_buy_zscore_20h
C08,crypto-native factors marked NOT_PHASE9B,PASS,
C09,historical factors marked NOT_PHASE9B,PASS,
C10,formulas include source script,PASS,factor_formula_registry.py cited
C11,formulas from real code,PASS,all formulas verified against factor_formula_registry.py
C12,index.html links to new pages,PASS,
C13,no_real_execution,PASS,
C14,no_alpha_claim,PASS,
C15,no_production_claim,PASS,
C16,phase13_not_started,PASS,
C17,no research results changed,PASS,
