check_id,check_name,status,notes
1,Phase 6H asset found,PASS,PHASE_6H_STATIC_DYNAMIC_COMPARISON.md exists
2,Phase 6H direction mismatch factors extracted,PASS,4 factors: mom_20h/reversal_5h/tech_macd/wq101_alpha101
3,Phase 10A-R diagnostic script found,PASS,archive/legacy_phase_scripts/phase10/run_phase10a_r_diagnostics.py
4,Phase 10A-R direction consistency output found,PASS,phase10a_r_direction_consistency_check.csv
5,Phase 10A-R bucket return output found,PASS,phase10a_r_quantile_bucket_returns.csv
6,Phase 10A-R inverted diagnostic output found,PASS,phase10a_r_inverted_signal_diagnostic.csv
7,Phase 10A-R reconciliation output found,PASS,phase10a_r_rankic_quantile_reconciliation.csv
8,Phase 10A-R unit test found,PASS,tests/unit/test_phase10a_r_direction_quantile_repair.py
9,current factor catalog loaded,PASS,53 factors from factor_catalog.json
10,current factor registry loaded,PASS,53 FactorSpec from factor_formula_registry.py
11,current factor-level IC loaded,PASS,47 factors with IC data from factor_level_rankic_summary.csv
12,current signal construction script loaded,PASS,scripts/build_phase9b_signal_panel.py
13,current signal component manifest loaded,PASS,phase9b_signal_component_manifest.csv
14,factor_direction_semantics_audit.csv created,PASS,53 rows in direction_semantics_audit/
15,direction_mismatch_candidates.csv created,PASS,13 candidates checked
16,signal_direction_transform_audit.csv created,PASS,10 signal factors audited
17,reversal_5h checked for double inversion risk,PASS,POSSIBLE_DOUBLE_INVERSION identified: formula negates but expected=negative; adj IC flips sign
18,mom_20h checked for expected_direction mismatch,PASS,HISTORICAL_DIRECTION_MISMATCH: expected=positive but raw IC negative
19,conditional signal factors checked,PASS,4 factors: xs_rank_vol/range_1h/range_4h/price_pos_24h all justified by signal transforms
20,signal-level vs factor-level direction distinction documented,PASS,Phase 10A-R = signal-level bucket tail; H12-A = factor-level metadata
21,no factor metadata modified,PASS,audit only
22,no compute function modified,PASS,audit only
23,no signal modified,PASS,audit only
24,no factor values modified,PASS,audit only
25,no labels modified,PASS,audit only
26,no research source outputs modified,PASS,audit only
27,no Phase 13,PASS,not started
28,no production claim,PASS,audit only
29,no alpha claim,PASS,audit only
