check_id,check_name,expected,actual,result,notes
H10-01,factor-level IC inputs loaded,47 computed factors,53 parsed (47 computed + 6 missing FV),PASS,factor_level_rankic_summary.csv loaded
H10-02,signal panel components loaded,10 factors,10 factors (vol_5h vol_40h downside_vol_20h vol_of_vol_20h rsi_7h rsi_28h xs_rank_vol range_1h range_4h price_pos_24h),PASS,from build_phase9b_signal_panel.py
H10-03,signal-level evaluation inputs loaded,3 variants × 4 horizons,3 variants (core_only pm_full_structured family_balanced_diagnostic) × 4 horizons,PASS,phase10a_signal_rankic_summary.csv
H10-04,current signal factors identified,10 factors,10 factors identified with family and role,PASS,all 10 mapped
H10-05,top factors by horizon identified,top 15 per horizon,15 factors × 4 horizons = 60 rows,PASS,top_factor_candidates_by_horizon.csv
H10-06,factor families assigned,all factors classified,47 factors classified into 15 families,PASS,family map applied
H10-07,current signal family concentration computed,family distribution,4 families: volatility 40% technical 20% range_position 20% liquidity 10%,PASS,signal_family_concentration.csv
H10-08,top unused factor candidates listed,non-signal factors with high IC,volatility_20h (0.039) rev_3h (0.034) q158_high_low_range (0.037) identified,PASS,top_factor_candidates_by_horizon.csv
H10-09,signal variants compared,3 variants,core_only best RankIC; pm_full degrades; fam_bal further degrades,PASS,signal_variant_comparison.csv
H10-10,redundancy diagnosis completed,family-level analysis,volatility family HIGH redundancy; technical MEDIUM; range MEDIUM,PASS,signal_family_concentration.csv
H10-11,no signal panel modified,0 changes,0 changes,PASS,build_phase9b_signal_panel.py untouched
H10-12,no factor values modified,0 changes,0 changes,PASS,no data files touched
H10-13,no labels modified,0 changes,0 changes,PASS,labels.parquet untouched
H10-14,no factor IC modified,0 changes,0 changes,PASS,factor_level_evaluation/ untouched
H10-15,no signal-level evaluation modified,0 changes,0 changes,PASS,phase10a_* files untouched
H10-16,no new factors added,0 new factors,0 new factors,PASS,factor count unchanged
H10-17,no new signal variants added,0 new variants,0 new variants,PASS,variant count unchanged
H10-18,public nav unchanged,4 pages,4 pages (index code-structure factor-evaluation signal-evaluation-summary),PASS,no new pages added to nav
H10-19,Phase 13 NOT STARTED,NOT_STARTED,NOT_STARTED,PASS,confirmed
H10-20,no production claim,False,no production claims in any output,PASS,confirmed
H10-21,no alpha claim,False,no alpha claims in any output,PASS,all outputs state diagnostic only
