signal_id,horizon,rankic_direction,standard_spread_direction,robust_spread_direction,bucket0_concentration,direction_conflict_type,recommended_next_action,reason
signal_v0_core_only,1h,POSITIVE,NEGATIVE,NEGATIVE,MODERATE,RIC_VS_SPREAD_DIRECTION,PROCEED_TO_TAIL_AWARE_SIGNAL_REDESIGN,Direction conflict: inversion resolves spread but flips RankIC
signal_v0_core_only,4h,POSITIVE,NEGATIVE,NEGATIVE,MODERATE,RIC_VS_SPREAD_DIRECTION,PROCEED_TO_TAIL_AWARE_SIGNAL_REDESIGN,Direction conflict: inversion resolves spread but flips RankIC
signal_v0_core_only,24h,NEGATIVE,NEGATIVE,NEGATIVE,MODERATE,CONSISTENT,PROCEED_TO_HORIZON_SPECIFIC_DIRECTION_POLICY,Inversion improves both RankIC and spread; horizon-specific direction needed
signal_v0_core_only,72h,NEGATIVE,NEGATIVE,NEGATIVE,MODERATE,CONSISTENT,PROCEED_TO_HORIZON_SPECIFIC_DIRECTION_POLICY,Inversion improves both RankIC and spread; horizon-specific direction needed
signal_v0_pm_full_structured,1h,POSITIVE,NEGATIVE,NEGATIVE,MODERATE,RIC_VS_SPREAD_DIRECTION,PROCEED_TO_TAIL_AWARE_SIGNAL_REDESIGN,Direction conflict: inversion resolves spread but flips RankIC
signal_v0_pm_full_structured,4h,POSITIVE,NEGATIVE,NEGATIVE,MODERATE,RIC_VS_SPREAD_DIRECTION,PROCEED_TO_TAIL_AWARE_SIGNAL_REDESIGN,Direction conflict: inversion resolves spread but flips RankIC
signal_v0_pm_full_structured,24h,NEGATIVE,NEGATIVE,NEGATIVE,MODERATE,CONSISTENT,PROCEED_TO_HORIZON_SPECIFIC_DIRECTION_POLICY,Inversion improves both RankIC and spread; horizon-specific direction needed
signal_v0_pm_full_structured,72h,NEGATIVE,NEGATIVE,NEGATIVE,MODERATE,CONSISTENT,PROCEED_TO_HORIZON_SPECIFIC_DIRECTION_POLICY,Inversion improves both RankIC and spread; horizon-specific direction needed
signal_v0_family_balanced_diagnostic,1h,POSITIVE,NEGATIVE,NEGATIVE,MODERATE,RIC_VS_SPREAD_DIRECTION,PROCEED_TO_TAIL_AWARE_SIGNAL_REDESIGN,Direction conflict: inversion resolves spread but flips RankIC
signal_v0_family_balanced_diagnostic,4h,POSITIVE,NEGATIVE,NEGATIVE,MODERATE,RIC_VS_SPREAD_DIRECTION,PROCEED_TO_TAIL_AWARE_SIGNAL_REDESIGN,Direction conflict: inversion resolves spread but flips RankIC
signal_v0_family_balanced_diagnostic,24h,NEGATIVE,NEGATIVE,NEGATIVE,MODERATE,CONSISTENT,PROCEED_TO_HORIZON_SPECIFIC_DIRECTION_POLICY,Inversion improves both RankIC and spread; horizon-specific direction needed
signal_v0_family_balanced_diagnostic,72h,NEGATIVE,NEGATIVE,NEGATIVE,MODERATE,CONSISTENT,PROCEED_TO_HORIZON_SPECIFIC_DIRECTION_POLICY,Inversion improves both RankIC and spread; horizon-specific direction needed
