factor_id,family,lifecycle_status,name_en,name_zh,family_en,family_zh,formula_en,formula_zh,intuition_en,intuition_zh,required_columns,expected_direction,expected_direction_explanation_en,expected_direction_explanation_zh,known_limitations_en,known_limitations_zh,data_source_type,horizon_notes_en,horizon_notes_zh,status_explanation_en,status_explanation_zh,review_required_flag,metadata_quality,source_fields
mom_20h,momentum,DIAGNOSTIC_PROBE,20h Momentum,20小时动量,Momentum,动量,close / close_lag(20) - 1,收盘价 / 20期前收盘价 - 1,"20-hour price momentum: how much price has risen or fallen over the last 20 bars. In a trending market, momentum tends to persist (trend continuation).",20小时价格动量：过去20根K线的涨跌幅。趋势市中动量倾向于延续（趋势延续效应）。,close,positive,"Positive direction: higher momentum suggests continued upward drift, consistent with trend-following behavior in crypto markets.",正向：更高的动量值暗示价格继续向上漂移，与加密市场的趋势跟踪行为一致。,Momentum can reverse sharply in choppy/range-bound markets. Lookback of 20h is medium-term; shorter windows capture faster reversals. No transaction cost adjustment.,动量在震荡/横盘市场中可能剧烈反转。20小时回溯属于中期；更短窗口捕捉更快反转。未做交易成本调整。,MOMENTUM_REVERSAL,Lookback window: 20 bars. Evaluation covers 1h/4h/24h/72h horizons.,回溯窗口：20根K线。评价覆盖1h/4h/24h/72h视野。,Status: DIAGNOSTIC_PROBE. Diagnostic probe — not yet promoted to active signal.,状态：DIAGNOSTIC_PROBE。诊断探针——尚未升级为活跃信号。,DIAGNOSTIC_PROBE status,COMPLETE,canonical_bars
reversal_5h,momentum,DIAGNOSTIC_PROBE,5h Reversal,5小时反转,Momentum,动量,-(close / close_lag(5) - 1),-(收盘价 / 5期前收盘价 - 1),"5-hour reversal: negative of 5h return. Higher value = larger prior drop, expecting bounce. Formula is pre-inverted (sign flip built in).",5小时反转：5小时收益的负值。值越大=前期跌幅越大，预期反弹。公式已预取反（内置符号翻转）。,close,positive,Positive direction: the formula is already sign-inverted. Higher factor value = stronger prior loser = stronger expected reversal bounce.,正向：公式已取反。因子值越高=前期跌幅越大=预期反弹越强。,"Reversal effect varies by market regime. In strong trends, losers may keep losing (momentum dominates reversal). No transaction cost.",反转效应因市场状态而异。强趋势中，下跌标的可能继续下跌（动量压制反转）。无交易成本。,MOMENTUM_REVERSAL,Lookback window: 5 bars. Evaluation covers 1h/4h/24h/72h horizons.,回溯窗口：5根K线。评价覆盖1h/4h/24h/72h视野。,Status: DIAGNOSTIC_PROBE. Diagnostic probe — not yet promoted to active signal.,状态：DIAGNOSTIC_PROBE。诊断探针——尚未升级为活跃信号。,DIAGNOSTIC_PROBE status,COMPLETE,canonical_bars
volatility_20h,volatility,DIAGNOSTIC_PROBE,20h Volatility,20小时波动率,Volatility,波动率,"std(ret_1h, 20)",1小时收益的20期标准差,20-hour realized volatility: standard deviation of hourly returns over 20 bars. Measures how much price typically moves per hour.,20小时已实现波动率：过去20根K线小时收益的标准差。衡量每小时价格的典型波动幅度。,close,negative,Negative direction: high-volatility assets historically underperform low-volatility assets in crypto cross-sections (volatility risk premium anomaly).,负向：高波动率资产在加密货币截面中历史上表现不如低波动率资产（波动率风险溢价异象）。,Volatility is persistent but not stationary. Regime changes can invalidate historical patterns. Standard lookback bias applies.,波动率具有持续性但非平稳。状态变化可能使历史模式失效。标准回溯偏差适用。,VOLATILITY,Lookback window: 21 bars. Evaluation covers 1h/4h/24h/72h horizons.,回溯窗口：21根K线。评价覆盖1h/4h/24h/72h视野。,Status: DIAGNOSTIC_PROBE. Diagnostic probe — not yet promoted to active signal.,状态：DIAGNOSTIC_PROBE。诊断探针——尚未升级为活跃信号。,DIAGNOSTIC_PROBE status,COMPLETE,canonical_bars
rsi_14h,technical,DIAGNOSTIC_PROBE,14h RSI,14小时RSI,Technical,技术指标,Wilder RSI(14),怀尔德RSI(14),"14-hour RSI (Relative Strength Index): classic momentum oscillator, 0-100 scale. Measures overbought/oversold conditions.",14小时RSI（相对强弱指数）：经典动量振荡器，0-100范围。衡量超买/超卖状态。,close,negative,"Negative direction: high RSI (above 70) suggests overbought, expecting pullback. Low RSI (below 30) suggests oversold, expecting bounce.",负向：高RSI（>70）暗示超买，预期回调。低RSI（<30）暗示超卖，预期反弹。,RSI can stay overbought/oversold for extended periods in trending markets. Not a standalone signal.,RSI在趋势市中可能长期处于超买/超卖状态。非独立信号。,TECHNICAL,Lookback window: 14 bars. Evaluation covers 1h/4h/24h/72h horizons.,回溯窗口：14根K线。评价覆盖1h/4h/24h/72h视野。,Status: DIAGNOSTIC_PROBE. Diagnostic probe — not yet promoted to active signal.,状态：DIAGNOSTIC_PROBE。诊断探针——尚未升级为活跃信号。,DIAGNOSTIC_PROBE status,COMPLETE,canonical_bars
bb_zscore_20h,technical,DIAGNOSTIC_PROBE,20h Bollinger Z-Score,20小时布林Z分数,Technical,技术指标,(close - SMA20) / std20,(收盘价 - 20期均线) / 20期标准差,"Bollinger Band z-score: how far price is from its 20h moving average, in standard deviation units. Detects extreme deviations.",布林带Z分数：价格偏离20小时均线的程度（以标准差为单位）。检测极端偏离。,close,negative,Negative direction: extreme positive z-score (price far above mean) suggests overbought/reversion expected.,负向：极端正Z分数（价格远高于均值）暗示超买/预期回归。,Assumes returns are approximately normal (they're not in crypto). Extreme deviations can persist in trends.,假设收益近似正态分布（加密市场并非如此）。极端偏离在趋势中可能持续。,TECHNICAL,Lookback window: 20 bars. Evaluation covers 1h/4h/24h/72h horizons.,回溯窗口：20根K线。评价覆盖1h/4h/24h/72h视野。,Status: DIAGNOSTIC_PROBE. Diagnostic probe — not yet promoted to active signal.,状态：DIAGNOSTIC_PROBE。诊断探针——尚未升级为活跃信号。,DIAGNOSTIC_PROBE status,COMPLETE,canonical_bars
wq101_alpha101,wq101,DIAGNOSTIC_PROBE,WQ101 Alpha101,WQ101 Alpha101,WorldQuant 101,WorldQuant 101,(close - open) / (high - low + eps),(收盘 - 开盘) / (最高 - 最低 + eps),WQ101 Alpha101: intraday position indicator — (close-open)/(high-low). Measures where price closed within the bar range.,WQ101 Alpha101：日内位置指标 — (收盘-开盘)/(最高-最低)。衡量价格在K线区间内的收盘位置。,"close,high,low,open",conditional,Conditional direction: direction intentionally left conditional to avoid post-hoc fitting. Requires empirical diagnostics.,条件方向：方向故意设为条件式以避免事后拟合。需实证诊断。,"Requires full OHLC bars. Single-bar component, noisy in low-liquidity symbols. Direction unknown without diagnostics.",需要完整OHLC K线。单根K线分量，低流动性标的噪音大。无诊断则方向未知。,HYBRID,Lookback window: 1 bars. Evaluation covers 1h/4h/24h/72h horizons.,回溯窗口：1根K线。评价覆盖1h/4h/24h/72h视野。,Status: DIAGNOSTIC_PROBE. Diagnostic probe — not yet promoted to active signal.,状态：DIAGNOSTIC_PROBE。诊断探针——尚未升级为活跃信号。,DIAGNOSTIC_PROBE status; conditional direction,FORMULA_AMBIGUOUS,canonical_bars
wq101_alpha12,wq101,DIAGNOSTIC_PROBE,WQ101 Alpha12,WQ101 Alpha12,WorldQuant 101,WorldQuant 101,"sign(delta(vol,1)) * (-delta(close,1))",sign(成交量变化) * (-收盘价变化),WQ101 Alpha12: volume-price divergence — sign(volume change) × (-price change). Detects volume-price disagreement.,WQ101 Alpha12：量价背离 — sign(成交量变化) × (-价格变化)。检测量价分歧。,"close,volume",conditional,Conditional direction: direction depends on whether volume-price divergence predicts continuation or reversal.,条件方向：方向取决于量价背离是预测延续还是反转。,Sign-dependent on volume change direction. May flip in choppy markets. Direction unknown without diagnostics.,符号取决于成交量变化方向。震荡市可能翻转。无诊断则方向未知。,HYBRID,Lookback window: 2 bars. Evaluation covers 1h/4h/24h/72h horizons.,回溯窗口：2根K线。评价覆盖1h/4h/24h/72h视野。,Status: DIAGNOSTIC_PROBE. Diagnostic probe — not yet promoted to active signal.,状态：DIAGNOSTIC_PROBE。诊断探针——尚未升级为活跃信号。,DIAGNOSTIC_PROBE status; conditional direction,FORMULA_AMBIGUOUS,canonical_bars
wq101_alpha53,wq101,DIAGNOSTIC_PROBE,WQ101 Alpha53,WQ101 Alpha53,WorldQuant 101,WorldQuant 101,"-delta(intraday_position, 9)","-delta(日内位置, 9)",WQ101 Alpha53: intraday position change over 9 bars — detects shifting momentum within bar ranges.,WQ101 Alpha53：9根K线的日内位置变化 — 检测K线区间内动量的转移。,"close,high,low",conditional,Conditional direction: direction requires empirical diagnostics.,条件方向：方向需实证诊断。,Intraday position metric sensitive to exchange-specific bar boundaries. Direction unknown without diagnostics.,日内位置指标对交易所特定K线边界敏感。无诊断则方向未知。,HYBRID,Lookback window: 10 bars. Evaluation covers 1h/4h/24h/72h horizons.,回溯窗口：10根K线。评价覆盖1h/4h/24h/72h视野。,Status: DIAGNOSTIC_PROBE. Diagnostic probe — not yet promoted to active signal.,状态：DIAGNOSTIC_PROBE。诊断探针——尚未升级为活跃信号。,DIAGNOSTIC_PROBE status; conditional direction,FORMULA_AMBIGUOUS,canonical_bars
q158_high_low_range,alpha158,DIAGNOSTIC_PROBE,Alpha158 High-Low Range,Alpha158高低价差,Alpha158,Alpha158,(high - low) / close,(最高 - 最低) / 收盘价,Alpha158 high-low range: (high-low)/close. Normalized intrabar range as a volatility proxy.,Alpha158高低价差：(最高-最低)/收盘价。标准化的K线内区间，作为波动率代理。,"close,high,low",conditional,Conditional direction: wider range may signal breakout or increased uncertainty.,条件方向：更宽的区间可能预示突破或不确定性增加。,Single-bar range; does not distinguish direction of move. Direction requires diagnostics.,单根K线区间；不区分移动方向。方向需诊断。,HYBRID,Lookback window: 1 bars. Evaluation covers 1h/4h/24h/72h horizons.,回溯窗口：1根K线。评价覆盖1h/4h/24h/72h视野。,Status: DIAGNOSTIC_PROBE. Diagnostic probe — not yet promoted to active signal.,状态：DIAGNOSTIC_PROBE。诊断探针——尚未升级为活跃信号。,DIAGNOSTIC_PROBE status; conditional direction,DIRECTION_AMBIGUOUS,canonical_bars
q158_klen_open,alpha158_kbar,DIAGNOSTIC_PROBE,Q158 Klen Open,q158_klen_open,Momentum,动量,Alpha158 KLEN: (high - low) / open; 1h kbar range length normalized by open,Alpha158 KLEN: (high - low) / open; 1h kbar range length normalized by open,Measures price continuation over 1h. Higher values indicate stronger recent upward drift.,衡量1小时内的价格延续性。值越高表示近期向上漂移越强。,"high,low,open",conditional,Direction: conditional.,方向：conditional。,"Standard limitations apply: survivorship bias, look-ahead in label computation, no transaction costs.",标准限制适用：幸存者偏差、标签计算中的前视偏差、无交易成本。,MOMENTUM_REVERSAL,Lookback window: 1 bars. Evaluation covers 1h/4h/24h/72h horizons.,回溯窗口：1根K线。评价覆盖1h/4h/24h/72h视野。,Status: DIAGNOSTIC_PROBE. Diagnostic probe — not yet promoted to active signal.,状态：DIAGNOSTIC_PROBE。诊断探针——尚未升级为活跃信号。,DIAGNOSTIC_PROBE status; conditional direction,SOURCE_MAPPED_REVIEW_REQUIRED,canonical_bars
