family,n_factors_v0_3,n_tier1,n_tier2,n_tier3,n_tier4,n_redundancy_groups,coverage_status,gap_assessment,batch3_priority,notes
breakout,2,0,2,0,0,0,PARTIALLY_COVERED,OHLCV-derived family with reasonable coverage; no urgent gap,LOW,
cross_sectional_normalized,2,1,1,0,0,0,PARTIALLY_COVERED,OHLCV-derived family with reasonable coverage; no urgent gap,LOW,
intraday_candle,3,0,2,1,0,0,PARTIALLY_COVERED,OHLCV-derived family with reasonable coverage; no urgent gap,LOW,
momentum,4,0,4,0,0,0,PARTIALLY_COVERED,4 factors all TIER_2; direction review needed before expanding,MEDIUM,
price_position,2,1,0,1,0,0,PARTIALLY_COVERED,OHLCV-derived family with reasonable coverage; no urgent gap,LOW,
quote_volume_liquidity,3,0,0,0,3,0,PARTIALLY_COVERED,"3 factors all TIER_4 (sign-flip); structural issue, not quantity issue",DEFER,
range_position,3,3,0,0,0,0,WELL_COVERED,OHLCV-derived family with reasonable coverage; no urgent gap,LOW,
realized_skew_kurtosis,2,2,0,0,0,0,WELL_COVERED,2 TIER_1 factors; stable but narrow; could expand to skew/kurtosis horizons,LOW,
reversal,3,0,3,0,0,0,PARTIALLY_COVERED,OHLCV-derived family with reasonable coverage; no urgent gap,LOW,
technical_indicators,4,2,2,0,0,4,OVER_REDUNDANT,"4 factors with 2 HIGH_REDUNDANCY groups; expanding adds more overlap, not info",LOW,
trend_ma,3,0,1,0,2,0,PARTIALLY_COVERED,"3 factors, 2 TIER_4; ma_gap sign-flip is structural",DEFER,
volatility,3,2,0,1,0,0,WELL_COVERED,OHLCV-derived family with reasonable coverage; no urgent gap,LOW,
volume_liquidity,2,0,0,0,2,0,PARTIALLY_COVERED,2 factors both TIER_4; same structural issue as quote_volume_liquidity,DEFER,
funding_rate,0,0,0,0,0,0,NOT_COVERED,Crypto-native: funding rate level/zscore/change,HIGH,Requires crypto-native data contract
open_interest,0,0,0,0,0,0,NOT_COVERED,Crypto-native: OI change/zscore/divergence,HIGH,Requires crypto-native data contract
basis_premium,0,0,0,0,0,0,NOT_COVERED,Crypto-native: basis/premium/dislocation,HIGH,Requires crypto-native data contract
taker_imbalance,0,0,0,0,0,0,NOT_COVERED,Crypto-native: taker buy-sell imbalance,HIGH,Requires crypto-native data contract
liquidation,0,0,0,0,0,0,NOT_COVERED,Crypto-native: liquidation pressure/imbalance,HIGH,Requires crypto-native data contract
orderbook_microstructure,0,0,0,0,0,0,NOT_COVERED,Crypto-native: spread/depth imbalance,HIGH,Requires crypto-native data contract
long_short_ratio,0,0,0,0,0,0,NOT_COVERED,Crypto-native: LS ratio positioning,HIGH,Requires crypto-native data contract
