check_id,check_name,status,notes
1,build_factor_catalog.py IC column mapping fixed,PASS,raw_mean_rank_ic and direction_adjusted_mean_rank_ic via _read_float()
2,raw_mean_rank_ic read successfully,PASS,10/10 signal factors have 1h IC
3,direction_adjusted_mean_rank_ic read successfully,PASS,10/10 signal factors have adj_ic_1h
4,active signal factors have non-empty 1h IC,PASS,10/10 vol_5h/vol_40h/downside_vol_20h/vol_of_vol_20h/rsi_7h/rsi_28h/xs_rank_vol/range_1h/range_4h/price_pos_24h
5,active signal factors have non-empty 4h IC,PASS,10/10
6,active signal factors have non-empty 24h IC,PASS,10/10
7,active signal factors have non-empty 72h IC,PASS,10/10
8,volatility_20h has non-empty IC,PASS,adj_ic_1h=0.038766
9,bb_zscore_20h has non-empty IC,PASS,adj_ic_1h=0.030481
10,rsi_14h has non-empty IC,PASS,adj_ic_1h=0.027987
11,rev_3h has non-empty IC,PASS,adj_ic_1h=-0.034385
12,reversal_5h has non-empty IC,PASS,adj_ic_1h=-0.026259
13,q158_high_low_range has non-empty IC if evaluated,PASS,adj_ic_1h=-0.037334
14,raw bars schema loaded from parquet or conservative fallback used and logged,PASS,schema loaded from bars_1h.parquet: 15 columns
15,taker/funding required columns classified correctly,PASS,6 factors: MISSING_INPUT_DATA (taker_buy_quote_volume/funding_rate not in raw bars schema)
16,missing FV factors classified without contradiction,PASS,fv_status=MISSING_INPUT_DATA/ic_status=MISSING_INPUT_DATA/lifecycle=MISSING_INPUT_DATA
17,catalog row count equals registry count,PASS,53/53
18,catalog JSON generated,PASS,factor_catalog.json with 53 factors
19,registry integrity report regenerated,PASS,factor_registry_integrity_report.csv + .json
20,catalog integrity self-check passed,PASS,check_factor_catalog_integrity.py exit 0
21,factor-evaluation.html does not claim to show full catalog,PASS,only shows IC evaluation summary; catalog noted as separate files
22,public nav unchanged,PASS,4 items: index/repo-map/factor-eval/signal-eval
23,no new factors added,PASS,53 unchanged
24,no signal modified,PASS,signal panel untouched
25,no factor values modified,PASS,only read existing outputs
26,no labels modified,PASS,labels.parquet untouched
27,no factor-level IC source modified,PASS,factor_level_rankic_summary.csv untouched
28,no signal-level evaluation source modified,PASS,signal evaluation CSVs untouched
29,Phase 13 NOT STARTED,PASS,no Phase 13 content
30,no production claim,PASS,no production/logic added
31,no alpha claim,PASS,only engineering tooling
