check_id,check_name,expected,actual,status,notes
C01,closeout_doc_exists,PHASE_12D_C_PIPELINE_DETAIL_AND_FACTOR_SOURCE_MAP.md exists,True,PASS,
C02,closeout_status_COMPLETE,Status: COMPLETE,Status: COMPLETE,PASS,
C03,closeout_date,2026-06-18,2026-06-18,PASS,
C04,closeout_previous_phase,12D-B-R,12D-B-R,PASS,
C05,crypto_native_inventory_html exists,crypto-native-inventory.html exists,exists,PASS,
C06,factor_source_map_html exists,factor-source-map.html exists,exists,PASS,
C07,crypto_native_inventory_json exists,crypto_native_inventory.json exists,exists,PASS,
C08,factor_source_map_json exists,factor_source_map.json exists,exists,PASS,
C09,crypto_native_inventory_md exists,crypto_native_inventory.md exists,exists,PASS,
C10,factor_source_map_md exists,factor_source_map.md exists,exists,PASS,
C11,index_links_crypto_inventory,index.html links to crypto-native-inventory.html,linked,PASS,
C12,index_links_factor_source_map,index.html links to factor-source-map.html,linked,PASS,
C13,data_range_start,2024-06,2024-06,PASS,
C14,data_range_end,2026-06-13,2026-06-13,PASS,
C15,symbol_count,266,266,PASS,
C16,funding_rate_available,funding rate available,documented,PASS,
C17,oi_not_available,open interest NOT available,documented,PASS,
C18,dynamic_top50_explained,Top50 dynamic explanation present,documented,PASS,
C19,factor_count,17 factors,17 factors,PASS,
C20,phase_9b_positioning,Phase 9B positioning documented,documented,PASS,
C21,phase_10_positioning,Phase 10A/10D positioning documented,documented,PASS,
C22,phase_12_positioning,Phase 12 positioning documented,documented,PASS,
C23,phase13_not_started,Phase 13 NOT STARTED stated,documented,PASS,
C24,no_real_execution,disclaimer: no real execution,documented,PASS,
C25,no_alpha_claim,disclaimer: no alpha claim,documented,PASS,
C26,data_lineage_top50,Top50 explanation in data-lineage.html,present,PASS,
C27,test_file_exists,test_phase12d_c_pipeline_detail.py exists,exists,PASS,
C28,quality_checks_csv,quality_checks.csv exists,exists,PASS,
