factor_id,metadata_quality,qa_notes_zh,qa_notes_en,changed_in_pm14b,needs_human_review,reason
mom_20h,COMPLETE,20小时价格动量：过去20根K线的涨跌幅。趋势市中动量倾向于延续（趋势延续效应）。,20-hour price momentum: how much price has risen or fallen over the last 20 bars,yes,no,DIAGNOSTIC_PROBE status
reversal_5h,COMPLETE,5小时反转：5小时收益的负值。值越大=前期跌幅越大，预期反弹。公式已预取反（内置符号翻转）。,"5-hour reversal: negative of 5h return. Higher value = larger prior drop, expect",yes,no,DIAGNOSTIC_PROBE status
volatility_20h,COMPLETE,20小时已实现波动率：过去20根K线小时收益的标准差。衡量每小时价格的典型波动幅度。,20-hour realized volatility: standard deviation of hourly returns over 20 bars. ,yes,no,DIAGNOSTIC_PROBE status
rsi_14h,COMPLETE,14小时RSI（相对强弱指数）：经典动量振荡器，0-100范围。衡量超买/超卖状态。,"14-hour RSI (Relative Strength Index): classic momentum oscillator, 0-100 scale.",yes,no,DIAGNOSTIC_PROBE status
bb_zscore_20h,COMPLETE,布林带Z分数：价格偏离20小时均线的程度（以标准差为单位）。检测极端偏离。,"Bollinger Band z-score: how far price is from its 20h moving average, in standar",yes,no,DIAGNOSTIC_PROBE status
wq101_alpha101,FORMULA_AMBIGUOUS,WQ101 Alpha101：日内位置指标 — (收盘-开盘)/(最高-最低)。衡量价格在K线区间内的收盘位置。,WQ101 Alpha101: intraday position indicator — (close-open)/(high-low). Measures ,yes,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha12,FORMULA_AMBIGUOUS,WQ101 Alpha12：量价背离 — sign(成交量变化) × (-价格变化)。检测量价分歧。,WQ101 Alpha12: volume-price divergence — sign(volume change) × (-price change). ,yes,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha53,FORMULA_AMBIGUOUS,WQ101 Alpha53：9根K线的日内位置变化 — 检测K线区间内动量的转移。,WQ101 Alpha53: intraday position change over 9 bars — detects shifting momentum ,yes,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha1,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配25小时K线。,"Alpha formula from WQ101 paper, adapted for 25h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha2,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配8小时K线。,"Alpha formula from WQ101 paper, adapted for 8h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha3,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配10小时K线。,"Alpha formula from WQ101 paper, adapted for 10h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha4,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配9小时K线。,"Alpha formula from WQ101 paper, adapted for 9h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha5,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配10小时K线。,"Alpha formula from WQ101 paper, adapted for 10h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha7,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配67小时K线。,"Alpha formula from WQ101 paper, adapted for 67h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha8,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配15小时K线。,"Alpha formula from WQ101 paper, adapted for 15h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha10,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配5小时K线。,"Alpha formula from WQ101 paper, adapted for 5h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha11,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配4小时K线。,"Alpha formula from WQ101 paper, adapted for 4h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha13,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配5小时K线。,"Alpha formula from WQ101 paper, adapted for 5h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha14,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配10小时K线。,"Alpha formula from WQ101 paper, adapted for 10h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha15,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配5小时K线。,"Alpha formula from WQ101 paper, adapted for 5h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha16,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配5小时K线。,"Alpha formula from WQ101 paper, adapted for 5h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
wq101_alpha17,AUTO_GENERATED_REVIEW_REQUIRED,源自WQ101论文的Alpha公式，适配24小时K线。,"Alpha formula from WQ101 paper, adapted for 24h bars.",no,yes,DIAGNOSTIC_PROBE status; conditional direction
