factor_id,name_zh,name_en,family,metadata_quality,best_horizon,final_quality_class,final_quality_score,score_confidence,computation_integrity_score,predictive_ranking_score,portfolio_extraction_score,stability_score,quantile_shape_score,direction_interpretability_score,redundancy_novelty_score,redundancy_confidence,coverage_rate,rankic_mean,rankic_ir,monthly_ic_positive_rate,long_short_sharpe,long_short_annualized_return,long_short_max_drawdown,long_short_positive_month_rate,quantile_shape,main_strengths_zh,main_weaknesses_zh,main_strengths_en,main_weaknesses_en,review_notes_zh,review_notes_en,recommended_next_action,review_substatus,review_subreason_zh,review_subreason_en,ml_gate_status,ml_gate_reason_zh,ml_gate_reason_en,ml_gate_risk_flags,workflow_review_bucket,workflow_review_reasons,after_funding_best_horizon,after_funding_long_short_spread,after_funding_coverage_rate,bucket_tail_diagnosis,after_funding_bucket_tail_diagnosis,funding_adjusted_edge_flip,valid_redundancy_pair_count,expected_redundancy_pair_count,valid_redundancy_pair_coverage,insufficient_overlap_pair_count,nearest_factor,nearest_abs_spearman_corr,strongest_redundancy_level,novelty_assessment,redundancy_cluster_id,redundancy_cluster_size
a101_vol_xs_z_product_112h,a101_vol_xs_z_product_112h,A101 Vol Xs Z Product 112H,,NEEDS_REVIEW,72h,REVIEW_REQUIRED,65.93,LOW,90.0,100.0,54.2,80.7,40,30.0,20.0,MEDIUM,0.996552,0.056717,0.4487,0.88,0.0889,0.037529,-0.045,0.56,NON_MONOTONIC,预测排名能力(100); 计算完整性(90),方向可解释性(30); 新颖性与冗余度(20),Predictive Ranking(100); Computation Integrity(90),Direction Interpretability(30); Redundancy / Novelty(20),元数据质量: NEEDS_REVIEW; 需人工审查公式或元数据; QA: 衡量112小时内的价格延续性。值越高表示近期向上漂移越强。,Metadata quality: NEEDS_REVIEW; Formula or metadata needs human review; QA: Measures price continuation over 112h. Higher values indicate stronger recent up,REVIEW_FORMULA_OR_METADATA,REVIEW_METADATA_ONLY,主要是批量接入后的元数据/解释待补齐，不等于因子失效。,Mainly metadata/explanation cleanup after bulk intake; not evidence that the factor failed.,ML_READY_WITH_CAUTION,可作为候选特征进入机器学习，但带元数据风险标记。,Eligible as an ML candidate feature with a metadata risk flag.,funding_adjusted_edge_flip|funding_adjusted_edge_nonpositive|high_redundancy|ls_not_robust|mean_median_split|metadata_needs_review|non_monotonic_quantiles,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict|after_funding_mean_spread_outlier_dominated|funding-adjusted edge flips|mean_spread_outlier_dominated,24h,-0.00076406,1.0,MEAN_SPREAD_OUTLIER_DOMINATED,MEAN_SPREAD_OUTLIER_DOMINATED,True,46,256,0.1797,210,a101_volume_xs_z_mean_neg_112h,0.845181,HIGH_REDUNDANCY,HIGHLY_REDUNDANT,0,2
a101_volume_cap_alpha_min_56_84,a101_volume_cap_alpha_min_56_84,A101 Volume Cap Alpha Min 56 84,,NEEDS_REVIEW,72h,REVIEW_REQUIRED,72.03,LOW,60.0,100.0,68.9,88.3,70,30.0,40.0,LOW,0.879502,0.057475,0.4232,0.96,1.1711,0.273814,-0.01697,0.68,NEAR_MONOTONIC,预测排名能力(100); 稳定性(88),新颖性与冗余度(40); 方向可解释性(30),Predictive Ranking(100); Stability(88),Redundancy / Novelty(40); Direction Interpretability(30),元数据质量: NEEDS_REVIEW; 需人工审查公式或元数据; 冗余数据不完整，无法充分评估新颖性; QA: 衡量139小时内的价格延续性。值越高表示近期向上漂移越强。,Metadata quality: NEEDS_REVIEW; Formula or metadata needs human review; Redundancy data incomplete; novelty not fully assessed; QA: Measures price continuation over 139h. Higher values indicate stronger recent up,REVIEW_FORMULA_OR_METADATA,REVIEW_METADATA_ONLY,主要是批量接入后的元数据/解释待补齐，不等于因子失效。,Mainly metadata/explanation cleanup after bulk intake; not evidence that the factor failed.,ML_READY_WITH_CAUTION,可作为候选特征进入机器学习，但带元数据风险标记。,Eligible as an ML candidate feature with a metadata risk flag.,metadata_needs_review,CONDITIONAL_DIRECTION_REVIEW,,72h,0.00209892,1.0,DIRECTIONALLY_CLEAN_THIN_EDGE,DIRECTIONALLY_CLEAN_THIN_EDGE,False,22,256,0.0859,234,wq101_alpha24,0.597675,LOW_REDUNDANCY,INSUFFICIENT_OVERLAP,1,1
a101_volume_cap_alpha_min_80_80,a101_volume_cap_alpha_min_80_80,A101 Volume Cap Alpha Min 80 80,,NEEDS_REVIEW,72h,REVIEW_REQUIRED,70.36,LOW,60.0,100.0,63.0,85.0,70,30.0,40.0,HIGH,0.878358,0.058173,0.4486,0.92,0.6718,0.210946,-0.032044,0.64,NEAR_MONOTONIC,预测排名能力(100); 稳定性(85),新颖性与冗余度(40); 方向可解释性(30),Predictive Ranking(100); Stability(85),Redundancy / Novelty(40); Direction Interpretability(30),元数据质量: NEEDS_REVIEW; 需人工审查公式或元数据; QA: 衡量159小时内的价格延续性。值越高表示近期向上漂移越强。,Metadata quality: NEEDS_REVIEW; Formula or metadata needs human review; QA: Measures price continuation over 159h. Higher values indicate stronger recent up,REVIEW_FORMULA_OR_METADATA,REVIEW_METADATA_ONLY,主要是批量接入后的元数据/解释待补齐，不等于因子失效。,Mainly metadata/explanation cleanup after bulk intake; not evidence that the factor failed.,ML_READY_WITH_CAUTION,可作为候选特征进入机器学习，但带元数据风险标记。,Eligible as an ML candidate feature with a metadata risk flag.,ls_not_robust|metadata_needs_review,CONDITIONAL_DIRECTION_REVIEW,,72h,0.00101132,1.0,DIRECTIONALLY_CLEAN_THIN_EDGE,DIRECTIONALLY_CLEAN_THIN_EDGE,False,184,256,0.7188,72,a101_volume_high_alpha_min_84_84,0.760771,MODERATE_REDUNDANCY,MODERATELY_REDUNDANT,2,1
a101_volume_high_alpha_min_84_84,a101_volume_high_alpha_min_84_84,A101 Volume High Alpha Min 84 84,,NEEDS_REVIEW,72h,REVIEW_REQUIRED,72.1,LOW,90.0,100.0,69.3,88.2,40,30.0,40.0,HIGH,0.983919,0.058513,0.4482,0.96,1.2321,0.268179,-0.019331,0.68,NON_MONOTONIC,预测排名能力(100); 计算完整性(90),新颖性与冗余度(40); 方向可解释性(30),Predictive Ranking(100); Computation Integrity(90),Redundancy / Novelty(40); Direction Interpretability(30),元数据质量: NEEDS_REVIEW; 需人工审查公式或元数据; QA: 衡量167小时内的价格延续性。值越高表示近期向上漂移越强。,Metadata quality: NEEDS_REVIEW; Formula or metadata needs human review; QA: Measures price continuation over 167h. Higher values indicate stronger recent up,REVIEW_FORMULA_OR_METADATA,REVIEW_METADATA_ONLY,主要是批量接入后的元数据/解释待补齐，不等于因子失效。,Mainly metadata/explanation cleanup after bulk intake; not evidence that the factor failed.,ML_READY_WITH_CAUTION,可作为候选特征进入机器学习，但带元数据风险标记。,Eligible as an ML candidate feature with a metadata risk flag.,metadata_needs_review|non_monotonic_quantiles,CONDITIONAL_DIRECTION_REVIEW,,72h,0.00173068,1.0,DIRECTIONALLY_CLEAN_THIN_EDGE,DIRECTIONALLY_CLEAN_THIN_EDGE,False,184,256,0.7188,72,a101_volume_cap_alpha_min_80_80,0.760771,MODERATE_REDUNDANCY,MODERATELY_REDUNDANT,3,1
a101_volume_low_alpha_min_84_120,a101_volume_low_alpha_min_84_120,A101 Volume Low Alpha Min 84 120,,NEEDS_REVIEW,72h,REVIEW_REQUIRED,70.25,MEDIUM,90.0,100.0,61.7,86.0,40,30.0,40.0,LOW,0.980999,0.062473,0.4781,1.0,0.6832,0.219718,-0.0257,0.56,NON_MONOTONIC,预测排名能力(100); 计算完整性(90),新颖性与冗余度(40); 方向可解释性(30),Predictive Ranking(100); Computation Integrity(90),Redundancy / Novelty(40); Direction Interpretability(30),元数据质量: NEEDS_REVIEW; 需人工审查公式或元数据; 冗余数据不完整，无法充分评估新颖性; QA: 衡量203小时内的价格延续性。值越高表示近期向上漂移越强。,Metadata quality: NEEDS_REVIEW; Formula or metadata needs human review; Redundancy data incomplete; novelty not fully assessed; QA: Measures price continuation over 203h. Higher values indicate stronger recent up,REVIEW_FORMULA_OR_METADATA,REVIEW_METADATA_ONLY,主要是批量接入后的元数据/解释待补齐，不等于因子失效。,Mainly metadata/explanation cleanup after bulk intake; not evidence that the factor failed.,ML_READY_WITH_CAUTION,可作为候选特征进入机器学习，但带元数据风险标记。,Eligible as an ML candidate feature with a metadata risk flag.,funding_adjusted_edge_flip|ls_not_robust|metadata_needs_review|non_monotonic_quantiles,CONDITIONAL_DIRECTION_REVIEW,funding-adjusted edge flips,72h,0.00038356,1.0,DIRECTIONALLY_CLEAN_THIN_EDGE,DIRECTIONALLY_CLEAN_THIN_EDGE,True,22,256,0.0859,234,a101_volume_cap_alpha_min_56_84,0.465057,LOW_REDUNDANCY,INSUFFICIENT_OVERLAP,4,1
a101_volume_xs_z_mean_neg_112h,a101_volume_xs_z_mean_neg_112h,A101 Volume Xs Z Mean Neg 112H,,NEEDS_REVIEW,72h,REVIEW_REQUIRED,67.64,LOW,90.0,100.0,60.3,83.8,40,30.0,20.0,MEDIUM,0.996552,0.068354,0.4423,0.92,0.4873,0.180422,-0.031835,0.6,NON_MONOTONIC,预测排名能力(100); 计算完整性(90),方向可解释性(30); 新颖性与冗余度(20),Predictive Ranking(100); Computation Integrity(90),Direction Interpretability(30); Redundancy / Novelty(20),元数据质量: NEEDS_REVIEW; 需人工审查公式或元数据; QA: 衡量112小时内的价格延续性。值越高表示近期向上漂移越强。,Metadata quality: NEEDS_REVIEW; Formula or metadata needs human review; QA: Measures price continuation over 112h. Higher values indicate stronger recent up,REVIEW_FORMULA_OR_METADATA,REVIEW_METADATA_ONLY,主要是批量接入后的元数据/解释待补齐，不等于因子失效。,Mainly metadata/explanation cleanup after bulk intake; not evidence that the factor failed.,ML_READY_WITH_CAUTION,可作为候选特征进入机器学习，但带元数据风险标记。,Eligible as an ML candidate feature with a metadata risk flag.,funding_adjusted_edge_flip|high_redundancy|ls_not_robust|metadata_needs_review|non_monotonic_quantiles,FUNDING_ADJUSTED_REVIEW_REQUIRED,funding-adjusted edge flips,72h,0.00114387,1.0,DIRECTIONALLY_CLEAN_THIN_EDGE,DIRECTIONALLY_CLEAN_THIN_EDGE,True,46,256,0.1797,210,a101_vol_xs_z_product_112h,0.845181,HIGH_REDUNDANCY,HIGHLY_REDUNDANT,0,2
amihud_change_20h,amihud_change_20h,Amihud Change 20H,,NEEDS_REVIEW,24h,REVIEW_REQUIRED,48.83,MEDIUM,90.0,29.7,64.5,56.6,40,30.0,40.0,LOW,0.992594,-0.008686,-0.0822,0.28,1.0889,0.217938,-0.007009,0.52,NON_MONOTONIC,计算完整性(90); 组合提取能力(65),方向可解释性(30); 预测排名能力(30),Computation Integrity(90); Portfolio Extraction(65),Direction Interpretability(30); Predictive Ranking(30),元数据质量: NEEDS_REVIEW; 需人工审查公式或元数据; 冗余数据不完整，无法充分评估新颖性; QA: 41小时流动性/非流动性指标。,Metadata quality: NEEDS_REVIEW; Formula or metadata needs human review; Redundancy data incomplete; novelty not fully assessed; QA: Liquidity/illiquidity metric over 41h.,REVIEW_FORMULA_OR_METADATA,REVIEW_METADATA_ONLY,主要是批量接入后的元数据/解释待补齐，不等于因子失效。,Mainly metadata/explanation cleanup after bulk intake; not evidence that the factor failed.,ML_READY_WITH_CAUTION,可作为候选特征进入机器学习，但带元数据风险标记。,Eligible as an ML candidate feature with a metadata risk flag.,ls_not_robust|metadata_needs_review|non_monotonic_quantiles|rankic_ls_direction_conflict,TAIL_OR_MONOTONICITY_REVIEW_REQUIRED,RankIC/spread direction conflict,72h,0.00149335,1.0,MIXED_OR_WEAK,DIRECTIONALLY_CLEAN_THIN_EDGE,False,57,256,0.2227,199,ma_gap_10_40,0.342627,LOW_REDUNDANCY,INSUFFICIENT_OVERLAP,5,1
amihud_illiquidity_20h,20小时Amihud非流动性,20h Amihud Illiquidity,liquidity,COMPLETE,72h,PROMISING_BUT_INCONSISTENT,58.19,HIGH,100.0,55.4,21.1,47.6,70,90.0,70.0,HIGH,0.994952,-0.016905,-0.1192,0.4,-2.6435,-0.963381,-0.18714,0.24,NEAR_MONOTONIC,计算完整性(100); 方向可解释性(90),稳定性(48); 组合提取能力(21),Computation Integrity(100); Direction Interpretability(90),Stability(48); Portfolio Extraction(21),"QA: 20小时Amihud非流动性：mean(|收益| / 成交额, 20)。衡量每美元交易的价格影响。越高=流动性越差。","QA: 20h Amihud illiquidity: mean(|return| / quote_volume, 20). Measures price impact",KEEP_FOR_RESEARCH_REVIEW,REVIEW_CLEAR,未触发主要复核阻断项。,No major review blocker was triggered.,ML_READY_WITH_CAUTION,可进机器学习，但需保留风险标记。,Eligible for ML with risk flags retained.,rankic_not_robust,METADATA_REVIEW,,72h,-0.00715841,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,False,184,256,0.7188,72,a101_volume_high_alpha_min_84_84,0.503911,LOW_REDUNDANCY,LIKELY_DISTINCT,6,1
bb_zscore_20h,20小时布林Z分数,20h Bollinger Z-Score,technical,COMPLETE,4h,PROMISING_BUT_INCONSISTENT,66.64,HIGH,100.0,81.5,31.0,80.5,70,90.0,20.0,HIGH,0.995801,0.033444,0.2384,1.0,-1.5091,-0.654898,-0.008335,0.36,NEAR_MONOTONIC,计算完整性(100); 方向可解释性(90),组合提取能力(31); 新颖性与冗余度(20),Computation Integrity(100); Direction Interpretability(90),Portfolio Extraction(31); Redundancy / Novelty(20),QA: 布林带Z分数：价格偏离20小时均线的程度（以标准差为单位）。检测极端偏离。,"QA: Bollinger Band z-score: how far price is from its 20h moving average, in standar",KEEP_FOR_RESEARCH_REVIEW,REVIEW_DIRECTION_SEMANTICS,方向语义需复核；不要人工预设正负方向。,Direction semantics need review; do not hard-code a positive/negative sign.,ML_READY_WITH_CAUTION,可进机器学习，但让模型学习符号，人工方向不作为约束。,"Eligible for ML, but let the model learn the sign rather than constraining it manually.",high_redundancy|rankic_ls_direction_conflict,DIRECTION_REVIEW_REQUIRED,RankIC/spread direction conflict,72h,-0.00429103,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,False,184,256,0.7188,72,q158_rank_close_20h,0.979193,NEAR_DUPLICATE,HIGHLY_REDUNDANT,7,53
breakout_dist_20h,20小时突破距离,20h Breakout Distance,breakout,COMPLETE,1h,PROMISING_BUT_INCONSISTENT,64.38,HIGH,100.0,62.1,65.9,51.2,70,90.0,20.0,HIGH,0.998476,-0.021392,-0.1569,0.08,0.7696,0.382111,-0.000727,0.6,NEAR_MONOTONIC,计算完整性(100); 方向可解释性(90),稳定性(51); 新颖性与冗余度(20),Computation Integrity(100); Direction Interpretability(90),Stability(51); Redundancy / Novelty(20),QA: 20小时突破距离：(收盘-20期最高)/(20期最高-20期最低)。价格超出20小时高点的距离。正值=新高。,QA: 20h breakout distance: (close-HH20)/(HH20-LL20). How far price is above/below th,KEEP_FOR_RESEARCH_REVIEW,REVIEW_DIRECTION_SEMANTICS,方向语义需复核；不要人工预设正负方向。,Direction semantics need review; do not hard-code a positive/negative sign.,ML_READY_WITH_CAUTION,可进机器学习，但让模型学习符号，人工方向不作为约束。,"Eligible for ML, but let the model learn the sign rather than constraining it manually.",high_redundancy|ls_not_robust|rankic_ls_direction_conflict,DIRECTION_REVIEW_REQUIRED,RankIC/spread direction conflict,72h,0.00449296,1.0,DIRECTIONALLY_CLEAN_THIN_EDGE,DIRECTIONALLY_CLEAN_THIN_EDGE,False,184,256,0.7188,72,q158_rsv_20h,0.999982,NEAR_DUPLICATE,HIGHLY_REDUNDANT,7,53
