factor_id,factor_family,expected_direction,phase8b_status,pm_role,pm_channel,default_signal_use,combination_priority,notes
vol_5h,volatility,negative,CANDIDATE_REVIEW,CORE_RISK_REVERSION,RISK_PRESSURE,CORE_SCORE_COMPONENT,1,Realized vol 5h; captures short-horizon risk pressure
vol_40h,volatility,negative,CANDIDATE_REVIEW,CORE_RISK_REVERSION,RISK_PRESSURE,CORE_SCORE_COMPONENT,1,Realized vol 40h; captures medium-horizon risk pressure; redundancy group representative
downside_vol_20h,realized_skew_kurtosis,negative,CANDIDATE_REVIEW,CORE_RISK_REVERSION,RISK_PRESSURE,CORE_SCORE_COMPONENT,1,Downside realized vol 20h; captures asymmetric risk
vol_of_vol_20h,realized_skew_kurtosis,negative,CANDIDATE_REVIEW,CORE_RISK_REVERSION,RISK_PRESSURE,CORE_SCORE_COMPONENT,1,Vol-of-vol 20h; captures risk regime instability
rsi_7h,technical_indicators,negative,CANDIDATE_REVIEW,OSCILLATOR_EXHAUSTION,TECHNICAL_REVERSION,CORE_SCORE_COMPONENT,2,RSI 7h; short-horizon oscillator exhaustion; redundancy group representative
rsi_28h,technical_indicators,negative,CANDIDATE_REVIEW,OSCILLATOR_EXHAUSTION,TECHNICAL_REVERSION,CORE_SCORE_COMPONENT,2,RSI 28h; mid-horizon oscillator exhaustion; redundancy group representative
range_1h,range_position,conditional,CANDIDATE_REVIEW,POSITION_TIMING_OVERLAY,RANGE_POSITION,OVERLAY_OR_MODULATOR,3,Range 1h; short-horizon price range context; conditional direction
range_4h,range_position,conditional,CANDIDATE_REVIEW,POSITION_TIMING_OVERLAY,RANGE_POSITION,OVERLAY_OR_MODULATOR,3,Range 4h; mid-horizon price range context; conditional direction
price_pos_24h,price_position,conditional,CANDIDATE_REVIEW,POSITION_TIMING_OVERLAY,RANGE_POSITION,OVERLAY_OR_MODULATOR,3,Price position 24h; price location within range; redundancy group representative; conditional direction
xs_rank_vol,cross_sectional_normalized,conditional,CANDIDATE_REVIEW,LIQUIDITY_PARTICIPATION_GATE,LIQUIDITY_GATE,GATE_OR_CONFIDENCE_MODULATOR,4,Cross-sectional rank vol; liquidity/participation gate; not standalone alpha direction
