check_id,check_name,status,notes
H7-01,index has exactly 3 public cards,PASS,代码结构/因子评价/信号评价
H7-02,index links to actual-script-map.html,PASS,
H7-03,index links to factor-evaluation.html,PASS,
H7-04,index links to signal-evaluation-summary.html,PASS,
H7-05,no archive pages in public nav,PASS,21 pages in _archive/
H7-06,factor-evaluation.html exists,PASS,53 factors listed
H7-07,factor page separates factor-level from signal-level,PASS,factor-level IC marked NOT_COMPUTED
H7-08,factor page uses NOT_COMPUTED for missing IC,PASS,all 4 horizon columns NOT_COMPUTED
H7-09,signal-evaluation-summary.html remains signal-level only,PASS,no factor-level data mixed in
H7-10,actual-script-map.html remains code-structure focused,PASS,SVG diagram + extension points
H7-11,public nav contains only 4 links: 首页/代码结构/因子评价/信号评价,PASS,all 3 pages footer updated
H7-12,actual_script_map.json synced,PASS,public_pages updated to 4 pages
H7-13,factor_evaluation.json created,PASS,includes factor_registry/signal_evaluation/extension_points
H7-14,markdown docs synced,PASS,factor_evaluation.md + actual_script_map.md updated
H7-15,no Python code modified,PASS,
H7-16,no research outputs modified,PASS,
H7-17,no signal panel modified,PASS,
H7-18,no labels modified,PASS,
H7-19,no Phase 13,PASS,
H7-20,no real execution,PASS,
H7-21,no production claim,PASS,
H7-22,no alpha claim,PASS,
