factor_name,category,expected_direction,formula_proxy,notes,used_in_current_signal,status
mom_72h,momentum,positive,close / close_72h_ago - 1; medium-horizon trend continuation diagnostic,close / close_72h_ago - 1; medium-horizon trend continuation diagnostic,False,COMPUTED
mom_120h,momentum,positive,close / close_120h_ago - 1; longer-horizon trend continuation diagnostic,close / close_120h_ago - 1; longer-horizon trend continuation diagnostic,False,COMPUTED
rev_1h,reversal,positive,-(close / close_1h_ago - 1); very short-term reversal diagnostic,-(close / close_1h_ago - 1); very short-term reversal diagnostic,False,COMPUTED
rev_72h,reversal,positive,-(close / close_72h_ago - 1); medium-horizon reversal diagnostic,-(close / close_72h_ago - 1); medium-horizon reversal diagnostic,False,COMPUTED
vol_ratio_20_80,volatility,conditional,"std(ret,20) / std(ret,80); short-vs-long volatility regime diagnostic","std(ret,20) / std(ret,80); short-vs-long volatility regime diagnostic",False,DIAGNOSTIC_ONLY
realized_skew_20h,realized_shape,conditional,rolling skewness of 1h returns over 20 bars; asymmetry diagnostic,rolling skewness of 1h returns over 20 bars; asymmetry diagnostic,False,DIAGNOSTIC_ONLY
realized_kurt_20h,realized_shape,conditional,rolling kurtosis of 1h returns over 20 bars; tail risk / jumpiness diagnostic,rolling kurtosis of 1h returns over 20 bars; tail risk / jumpiness diagnostic,False,DIAGNOSTIC_ONLY
amihud_illiquidity_20h,liquidity,negative,"rolling_mean(abs(ret_1h) / quote_volume, 20); higher illiquidity penalized","rolling_mean(abs(ret_1h) / quote_volume, 20); higher illiquidity penalized",False,COMPUTED
qvol_ma_ratio_20_80,quote_volume_liquidity,conditional,"SMA(quote_volume,20) / SMA(quote_volume,80) - 1; medium-vs-long liquidity regime","SMA(quote_volume,20) / SMA(quote_volume,80) - 1; medium-vs-long liquidity regime",False,DIAGNOSTIC_ONLY
price_volume_corr_20h,volume_price,conditional,"rolling_corr(ret_1h, pct_change(quote_volume), 20); attention diagnostic","rolling_corr(ret_1h, pct_change(quote_volume), 20); attention diagnostic",False,DIAGNOSTIC_ONLY
trend_efficiency_24h,trend_quality,positive,"abs(close/close_24h_ago-1) / sum(abs(ret_1h),24); cleaner directional move","abs(close/close_24h_ago-1) / sum(abs(ret_1h),24); cleaner directional move",False,COMPUTED
price_pos_120h,price_position,conditional,(close - LL120) / (HH120 - LL120 + eps); long-window price location diagnostic,(close - LL120) / (HH120 - LL120 + eps); long-window price location diagnostic,False,DIAGNOSTIC_ONLY
