variant_id,signal_id,horizon,direction_variant,guard_variant,description,priority,metrics_to_evaluate,pass_criteria,fail_criteria,notes
V01,signal_v0_core_only,1h,original,no_guard,Core-only original direction no guard,1,rankic+mean_spread+median_spread+winsorized_spread+tail_trim_spread+bucket0_exposure+hit_rate+n_timestamps+n_observations,RankIC>0 AND median_spread>0,RankIC<0 OR median_spread<0,Baseline
V02,signal_v0_core_only,1h,original,bucket0_guard,Core-only original direction with bucket 0 guard,1,rankic+mean_spread+median_spread+winsorized_spread+tail_trim_spread+bucket0_exposure+bucket0_guarded_exposure+hit_rate+n_timestamps+n_observations,RankIC>0 AND median_spread>0 AND bucket0_guarded_exposure=0,bucket0_guarded_exposure>0,PM-recommended guard
V03,signal_v0_core_only,1h,inverted,no_guard,Core-only inverted direction no guard,3,rankic+mean_spread+median_spread+winsorized_spread+tail_trim_spread+bucket0_exposure+hit_rate+n_timestamps+n_observations,RankIC>0 AND median_spread>0,RankIC<0,Diagnostic baseline for inversion
V04,signal_v0_core_only,1h,inverted,bucket0_guard,Core-only inverted direction with bucket 0 guard,3,rankic+mean_spread+median_spread+winsorized_spread+tail_trim_spread+bucket0_exposure+bucket0_guarded_exposure+hit_rate+n_timestamps+n_observations,RankIC>0 AND median_spread>0 AND bucket0_guarded_exposure=0,bucket0_guarded_exposure>0,Diagnostic inversion+guard
V05,signal_v0_core_only,4h,original,no_guard,Core-only original direction no guard,1,rankic+mean_spread+median_spread+winsorized_spread+tail_trim_spread+bucket0_exposure+hit_rate+n_timestamps+n_observations,RankIC>0 AND median_spread>0,RankIC<0 OR median_spread<0,Baseline
V06,signal_v0_core_only,4h,original,bucket0_guard,Core-only original direction with bucket 0 guard,1,rankic+mean_spread+median_spread+winsorized_spread+tail_trim_spread+bucket0_exposure+bucket0_guarded_exposure+hit_rate+n_timestamps+n_observations,RankIC>0 AND median_spread>0 AND bucket0_guarded_exposure=0,bucket0_guarded_exposure>0,PM-recommended guard
V07,signal_v0_core_only,4h,inverted,no_guard,Core-only inverted direction no guard,3,rankic+mean_spread+median_spread+winsorized_spread+tail_trim_spread+bucket0_exposure+hit_rate+n_timestamps+n_observations,RankIC>0 AND median_spread>0,RankIC<0,Diagnostic baseline
V08,signal_v0_core_only,4h,inverted,bucket0_guard,Core-only inverted direction with bucket 0 guard,3,rankic+mean_spread+median_spread+winsorized_spread+tail_trim_spread+bucket0_exposure+bucket0_guarded_exposure+hit_rate+n_timestamps+n_observations,RankIC>0 AND median_spread>0 AND bucket0_guarded_exposure=0,bucket0_guarded_exposure>0,Diagnostic inversion+guard
V09,signal_v0_core_only,24h,original,no_guard,Core-only original direction no guard,1,rankic+mean_spread+median_spread+winsorized_spread+tail_trim_spread+bucket0_exposure+hit_rate+n_timestamps+n_observations,RankIC>0 AND median_spread>0,RankIC<0 OR median_spread<0,Baseline
V10,signal_v0_core_only,24h,original,bucket0_guard,Core-only original direction with bucket 0 guard,1,rankic+mean_spread+median_spread+winsorized_spread+tail_trim_spread+bucket0_exposure+bucket0_guarded_exposure+hit_rate+n_timestamps+n_observations,RankIC>0 AND median_spread>0 AND bucket0_guarded_exposure=0,bucket0_guarded_exposure>0,PM-recommended guard
V11,signal_v0_core_only,24h,inverted,no_guard,Core-only inverted direction no guard,2,rankic+mean_spread+median_spread+winsorized_spread+tail_trim_spread+bucket0_exposure+hit_rate+n_timestamps+n_observations,RankIC>0 AND median_spread>0,RankIC<0,Inversion review
V12,signal_v0_core_only,24h,inverted,bucket0_guard,Core-only inverted direction with bucket 0 guard,2,rankic+mean_spread+median_spread+winsorized_spread+tail_trim_spread+bucket0_exposure+bucket0_guarded_exposure+hit_rate+n_timestamps+n_observations,RankIC>0 AND median_spread>0 AND bucket0_guarded_exposure=0,bucket0_guarded_exposure>0,Inversion+guard
V13,signal_v0_core_only,72h,original,no_guard,Core-only original direction no guard,1,rankic+mean_spread+median_spread+winsorized_spread+tail_trim_spread+bucket0_exposure+hit_rate+n_timestamps+n_observations,RankIC>0 AND median_spread>0,RankIC<0 OR median_spread<0,Baseline
V14,signal_v0_core_only,72h,original,bucket0_guard,Core-only original direction with bucket 0 guard,1,rankic+mean_spread+median_spread+winsorized_spread+tail_trim_spread+bucket0_exposure+bucket0_guarded_exposure+hit_rate+n_timestamps+n_observations,RankIC>0 AND median_spread>0 AND bucket0_guarded_exposure=0,bucket0_guarded_exposure>0,PM-recommended guard
V15,signal_v0_core_only,72h,inverted,no_guard,Core-only inverted direction no guard,2,rankic+mean_spread+median_spread+winsorized_spread+tail_trim_spread+bucket0_exposure+hit_rate+n_timestamps+n_observations,RankIC>0 AND median_spread>0,RankIC<0,Inversion review
V16,signal_v0_core_only,72h,inverted,bucket0_guard,Core-only inverted direction with bucket 0 guard,2,rankic+mean_spread+median_spread+winsorized_spread+tail_trim_spread+bucket0_exposure+bucket0_guarded_exposure+hit_rate+n_timestamps+n_observations,RankIC>0 AND median_spread>0 AND bucket0_guarded_exposure=0,bucket0_guarded_exposure>0,Inversion+guard
